"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"chla",217.808,194.674165673922,153.277188871097,236.349780333035
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"chla",110.249,70.2566157779046,43.1275636355089,99.0913828251159
"3","CFAA2","280_28_1","288_28",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"chla",21.946,76.1782802576005,48.244659533065,104.79227429703
"4","CFAA6","700_28_1","673_28",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"chla",15.681,33.8060417679335,2.24297208959116,66.5287530418782
"5","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"chla",70.777,27.6203059804206,-0.0267370942111855,56.7140652445206
"6","CFAB11","700_28_1","673_28",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"chla",29.419,33.8060417679335,2.24297208959116,66.5287530418782
"7","CFAB18","400_28_1","447_28",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"chla",62.217,70.2566157779046,43.1275636355089,99.0913828251159
"8","CFAB2","280_28_1","288_28",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"chla",114.412,76.1782802576005,48.244659533065,104.79227429703
"9","CFAB3","400_31_1","405_31",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"chla",35.844,42.0662296685428,2.71042403262987,78.6293254879907
"10","CFAB5","700_31_1","701_31",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"chla",97.157,95.1402230357037,61.4963670477306,127.003072758058
"11","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"chla",28.351,27.6203059804206,-0.0267370942111855,56.7140652445206
"12","CFAC1","280_31_2","311_31",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"chla",141.125,194.674165673922,153.277188871097,236.349780333035
"13","CFAC12","400_28_2","447_28",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"chla",76.26,70.2566157779046,43.1275636355089,99.0913828251159
"14","CFAC2","280_28_2","288_28",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"chla",93.196,76.1782802576005,48.244659533065,104.79227429703
