date,treat,temp,pco2,value,param
10/9/2015,288_28,28,288,217.6,mpco2
10/9/2015,288_28,28,288,220.7,mpco2
10/9/2015,288_28,28,288,222.9,mpco2
10/9/2015,311_31,31,311,232.9,mpco2
10/9/2015,311_31,31,311,227.9,mpco2
10/9/2015,311_31,31,311,236.9,mpco2
10/9/2015,3285_28,28,3285,3034.6,mpco2
10/9/2015,3285_28,28,3285,3387.3,mpco2
10/9/2015,3285_28,28,3285,3136.9,mpco2
10/9/2015,3309_31,31,3309,3173.6,mpco2
10/9/2015,3309_31,31,3309,3203.1,mpco2
10/9/2015,3309_31,31,3309,3458.5,mpco2
10/9/2015,447_28,28,447,290,mpco2
10/9/2015,447_28,28,447,302.2,mpco2
10/9/2015,447_28,28,447,304.6,mpco2
10/9/2015,405_31,31,405,235.9,mpco2
10/9/2015,405_31,31,405,251.2,mpco2
10/9/2015,405_31,31,405,247.6,mpco2
10/9/2015,673_28,28,673,557.3,mpco2
10/9/2015,673_28,28,673,554.7,mpco2
10/9/2015,673_28,28,673,562.2,mpco2
10/9/2015,701_31,31,701,462.3,mpco2
10/9/2015,701_31,31,701,469.4,mpco2
10/9/2015,701_31,31,701,489.1,mpco2
12/10/2015,288_28,28,288,385.4,mpco2
12/10/2015,288_28,28,288,399.7,mpco2
12/10/2015,288_28,28,288,450.1,mpco2
12/10/2015,311_31,31,311,279.7,mpco2
12/10/2015,311_31,31,311,287,mpco2
12/10/2015,311_31,31,311,377.2,mpco2
12/10/2015,3285_28,28,3285,4189.3,mpco2
12/10/2015,3285_28,28,3285,3524,mpco2
12/10/2015,3285_28,28,3285,3071.5,mpco2
12/10/2015,3309_31,31,3309,3588.8,mpco2
12/10/2015,3309_31,31,3309,3665.4,mpco2
12/10/2015,3309_31,31,3309,2830.4,mpco2
12/10/2015,447_28,28,447,462.8,mpco2
12/10/2015,447_28,28,447,451.2,mpco2
12/10/2015,447_28,28,447,494.5,mpco2
12/10/2015,405_31,31,405,566.7,mpco2
12/10/2015,405_31,31,405,604.1,mpco2
12/10/2015,405_31,31,405,792.1,mpco2
12/10/2015,673_28,28,673,981.2,mpco2
12/10/2015,673_28,28,673,887.4,mpco2
12/10/2015,673_28,28,673,809.3,mpco2
12/10/2015,701_31,31,701,746.4,mpco2
12/10/2015,701_31,31,701,773.5,mpco2
12/10/2015,701_31,31,701,646.6,mpco2
11/10/2015,288_28,28,288,257,mpco2
11/10/2015,288_28,28,288,262.4,mpco2
11/10/2015,288_28,28,288,NA,mpco2
11/10/2015,311_31,31,311,330.3,mpco2
