"","Sample","total","symb","percent"
"1","CFSA10",10109,"perc_C",95.6
"2","CFSA14",10644,"perc_C",51.49
"3","CFSA1",8790,"perc_C",12.12
"4","CFSA2",70418,"perc_C",92.88
"5","CFSA3",5719,"perc_C",46.58
"6","CFSA5",8063,"perc_C",12.99
"7","CFSA6",407,"perc_C",62.65
"8","CFSA7",2856,"perc_C",37.82
"9","CFSB10",37108,"perc_C",97.76
"10","CFSB13",67908,"perc_C",97.59
"11","CFSB1",123053,"perc_C",97.84
"12","CFSB2",13370,"perc_C",95.94
"13","CFSB3",1743,"perc_C",97.25
"14","CFSB5",51391,"perc_C",97.64
"15","CFSB6",55558,"perc_C",97.72
"16","CFSB7",5285,"perc_C",96.35
"17","CFSD11",31807,"perc_C",97.59
"18","CFSD3",34761,"perc_C",82.07
"19","CFSD5",118131,"perc_C",98.09
"20","CFSD6",25797,"perc_C",84.73
"21","CFSD7",3705,"perc_C",22.89
"22","CFSD8",62481,"perc_C",94.5
"23","CFSD9",89061,"perc_C",97.53
"24","CFSF16",16874,"perc_C",0.64
"25","CFSF2",5476,"perc_C",10.59
"26","CFSF3",6204,"perc_C",1.02
"27","CFSF5",5985,"perc_C",1.74
"28","CFSF6",5570,"perc_C",1.99
"29","CFSF7",3085,"perc_C",1.49
"30","CNSB1",26826,"perc_C",97.47
"31","CNSB20",1700,"perc_C",97.76
"32","CNSB2",173947,"perc_C",97.77
"33","CNSB3",31833,"perc_C",97.65
"34","CNSB5",65157,"perc_C",97.02
"35","CNSB6",58036,"perc_C",97.58
"36","CNSB7",84644,"perc_C",97.56
"37","CNSB8",13433,"perc_C",95.4
"38","CNSD1",105847,"perc_C",97.92
"39","CNSD2",33,"perc_C",87.88
"40","CNSD3",35152,"perc_C",96.53
"41","CNSD5",44462,"perc_C",97.41
"42","CNSD6",46929,"perc_C",97.47
"43","CNSD8",21,"perc_C",100
