"","X","coral","tank","temp2","treat","pCO2","temp","pco2","species","colony","reefzone","SA","le","tp","rate","fpco2","ftemp","mean","lowerci","upperci"
"5",1705,"CNAB12","2800_28_1",28.1,"2800_28",3369.78,28,"ext","A","AB_N","N",6.944,0.001,"total",-1.377,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"34",1524,"CFAB8","2800_28_1",28.1,"2800_28",3369.78,28,"ext","A","AB_F","F",9.958,0.002,"total",-0.368,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"35",1526,"CFAC12","400_28_2",28.1,"400_28",400.02,28,"cur","A","AC_F","F",9.083,0.002,"total",-0.449,400,"28",0.00981591936855294,-0.232911730244487,0.230814592698055
"36",1639,"CFSB7","2800_31_1",30.9,"2800_31",3258.29,31,"ext","S","SB_F","F",11.199,0.002,"total",-0.109,2800,"31",0.266987016972281,0.0474278001934215,0.468112310185277
"37",1704,"CNAB11","400_31_1",31.1,"400_31",434.02,31,"cur","A","AB_N","N",7.304,0.002,"total",0.032,400,"31",0.166369015627997,-0.0730065105477148,0.418964697312486
"38",1715,"CNAC5","700_31_2",30.9,"700_31",677.35,31,"eoc","A","AC_N","N",9.56,0.002,"total",-0.009,700,"31",-0.0390022360012854,-0.280397737474123,0.218878059236842
"39",1718,"CNAC8","2800_28_2",28.1,"2800_28",3336.47,28,"ext","A","AC_N","N",10.829,0.002,"total",-0.513,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"40",1733,"CNAE8","2800_28_3",28.1,"2800_28",3219.84,28,"ext","A","AE_N","N",7.201,0.002,"total",-1.433,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
"105",1514,"CFAA6","700_28_1",28,"700_28",707.6,28,"eoc","A","AA_F","F",12.19,0.003,"total",-0.255,700,"28",-0.195555332260729,-0.438396984189833,0.050082607039018
"106",1516,"CFAA8","2800_28_1",28.1,"2800_28",3369.78,28,"ext","A","AA_F","F",11.967,0.003,"total",-0.739,2800,"28",-0.680071688212565,-0.903113030724995,-0.455869096856725
