"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","den","pro","chla","sum_bw5","red_bw1","green_bw1","blue_bw1","sum_bw1","red_bw2","green_bw2","blue_bw2","sum_bw2","red_bw3","green_bw3","blue_bw3","sum_bw3","red_bw4","green_bw4","blue_bw4","sum_bw4","red_bw5","green_bw5","blue_bw5","rate","carb(mg/cm2)_avg","lipid(mg/cm2)_avg","count","offset"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","A","A","280","31","AA_F",10.547,5524414.525,0.45,217.808,125.9,113.9,79.7,16.2,209.8,118.2,90,16.6,224.8,98.1,62.5,12.5,173.1,144.8,110.3,28.4,283.5,69.2,52.3,4.4,0.333,1.186056193,0.283302893,"7193333",0.759
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","A","A","400","28","AA_F",10.418,7570308.751,0.197,110.249,266.4,NA,NA,NA,NA,93.8,51.2,18.3,163.3,92,59,28,179,100.4,65.4,28.4,194.2,137.5,93.3,35.6,0.079,0.637811624,0.05856389,"11950000",0.624
"3","CFAA15","400_28","447_28",447,28,"T0","F","A","A","T0","T0","AA_F",12.00066667,1487617.355,0.266,1.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.940276095,0.118991902,"2204000",0.667
"4","CFAA2","280_28_1","288_28",288,28,"T90","F","A","A","280","28","AA_F",8.63,2911506.818,0.116,21.946,349.5,122.9,88.1,4.2,445.2,122.4,92,41.8,256.2,129.8,88,25.1,242.9,131.5,89.9,34,255.4,166.2,126.4,56.9,-0.148,0.546623836,0.191900028,"4486667",0.637
"5","CFAA6","700_28_1","673_28",673,28,"T90","F","A","A","700","28","AA_F",12.19,1706253.931,0.234,15.681,431.4,145.5,103.1,9.7,258.3,145.1,109,42,296.1,167.5,123.7,57,348.2,185.1,143,89.2,417.3,193.9,159.5,78,-0.255,0.358909847,0.053960868,"2736667",0.615
"6","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","A","A","2800","28","AA_F",11.967,5384362.553,0.351,70.777,362.1,124.4,88.2,12,224.6,120.1,87.7,33.1,240.9,129.4,96.2,37.2,262.8,139.6,99.2,49.3,288.1,173.1,135.6,53.4,-0.739,1.364423881,0.213038798,"4413333",1.212
"7","CFAB11","700_28_1","673_28",673,28,"T90","F","A","B","700","28","AB_F",10.074,3959796.168,0.095,29.419,273.6,150.4,115.7,28.3,294.4,122.7,87.9,33.6,244.2,123.3,82.8,28.5,234.6,159.5,122.9,64.8,347.2,136.2,98.7,38.7,-0.179,0.283858962,0.081484238,"3296667",1.191
"8","CFAB18","400_28_1","447_28",447,28,"T90","F","A","B","400","28","AB_F",9.132,3133596.145,0.233,62.217,314.2,NA,NA,NA,NA,92.6,55.4,22.4,170.4,142.7,104.3,36.6,283.6,75.6,45.6,18.3,139.5,149.4,107.5,57.3,0.634,0.880658753,0.063166109,"5110000",0.602
"9","CFAB19","400_28","447_28",447,28,"T0","F","A","B","T0","T0","AB_F",11.39933333,2148283.525,0.175,69.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991084967,0.151255284,"3023333",0.702
"10","CFAB2","280_28_1","288_28",288,28,"T90","F","A","B","280","28","AB_F",10.698,7071070.26,0.561,114.412,214.4,131.5,96.6,13.4,241.5,100.5,68.8,19.4,188.7,94.5,60.9,13.3,168.7,68.2,41.3,17.1,126.6,120,76.2,18.2,-0.018,1.14989455,0.203539008,"7136667",0.981
