"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"den",5.524414525,5.59420218595151,4.87168428163196,6.28269719485001
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"den",7.570308751,6.58432453661717,5.88185089730311,7.23953593207118
"3","CFAA2","280_28_1","288_28",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"den",2.911506818,6.7437804988528,6.07358845442908,7.39353000900716
"4","CFAA6","700_28_1","673_28",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"den",1.706253931,5.93605068158893,5.25756882609854,6.58165130834035
"5","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"den",5.384362553,5.77745614983424,5.16859098288535,6.43178006845758
"6","CFAB11","700_28_1","673_28",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"den",3.959796168,5.93605068158893,5.25756882609854,6.58165130834035
"7","CFAB18","400_28_1","447_28",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"den",3.133596145,6.58432453661717,5.88185089730311,7.23953593207118
"8","CFAB2","280_28_1","288_28",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"den",7.07107026,6.7437804988528,6.07358845442908,7.39353000900716
"9","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"den",5.362878661,5.77745614983424,5.16859098288535,6.43178006845758
"10","CFAC1","280_31_2","311_31",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"den",7.818658942,5.59420218595151,4.87168428163196,6.28269719485001
"11","CFAC12","400_28_2","447_28",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"den",9.155565342,6.58432453661717,5.88185089730311,7.23953593207118
"12","CFAC2","280_28_2","288_28",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"den",10.12720581,6.7437804988528,6.07358845442908,7.39353000900716
"13","CFAC3","400_31_2","405_31",405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"den",5.945336226,5.43474622371588,4.69949959050009,6.15866081053967
"14","CFAC5","700_31_2","701_31",701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"den",1.859831389,4.78647236868764,4.10613594284031,5.47418975309949
"15","CFAC6","700_28_2","673_28",673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"den",8.725233157,5.93605068158893,5.25756882609854,6.58165130834035
"16","CFAC8","2800_28_2","3285_28",3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"den",7.74199097,5.77745614983424,5.16859098288535,6.43178006845758
"17","CFAD12","400_28_2","447_28",447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"den",5.618783252,6.58432453661717,5.88185089730311,7.23953593207118
"18","CFAD2","280_28_2","288_28",288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"den",4.812398797,6.7437804988528,6.07358845442908,7.39353000900716
"19","CFAD5","700_31_2","701_31",701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"den",2.283506126,4.78647236868764,4.10613594284031,5.47418975309949
"20","CFAD6","700_28_2","673_28",673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"den",5.52949998,5.93605068158893,5.25756882609854,6.58165130834035
"21","CFAD8","2800_28_2","3285_28",3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"den",7.286756593,5.77745614983424,5.16859098288535,6.43178006845758
"22","CFAD9","400_28_3","447_28",447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"den",10.73864956,6.58432453661717,5.88185089730311,7.23953593207118
"23","CFAE10","280_31_3","311_31",311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"den",4.195785798,5.59420218595151,4.87168428163196,6.28269719485001
"24","CFAE15","280_28_3","288_28",288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"den",9.521613833,6.7437804988528,6.07358845442908,7.39353000900716
