"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,"311_31","carb",1.186056193,0.648258203357751,0.410705048405383,0.876786724470777
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,"447_28","carb",0.637811624,0.899580446877123,0.712713714390173,1.0964415195325
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,"288_28","carb",0.546623836,0.820313084824689,0.614425785214866,1.02807650065164
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,"673_28","carb",0.358909847,0.605133393218146,0.413127415878874,0.806018746328814
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,"3285_28","carb",1.364423881,0.577361102777441,0.375302259841118,0.780403874998196
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,"673_28","carb",0.283858962,0.605133393218146,0.413127415878874,0.806018746328814
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,"447_28","carb",0.880658753,0.899580446877123,0.712713714390173,1.0964415195325
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,"288_28","carb",1.14989455,0.820313084824689,0.614425785214866,1.02807650065164
"9","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,"405_31","carb",0.329042058,0.727525565410186,0.507083078197827,0.945941732107139
"10","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,"701_31","carb",0.40994543,0.433078511751209,0.234872307886196,0.637744765844315
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,"3285_28","carb",0.504552339,0.577361102777441,0.375302259841118,0.780403874998196
"12","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,"311_31","carb",0.402282024,0.648258203357751,0.410705048405383,0.876786724470777
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,"447_28","carb",0.371511025,0.899580446877123,0.712713714390173,1.0964415195325
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,"288_28","carb",0.8390103,0.820313084824689,0.614425785214866,1.02807650065164
"15","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,"405_31","carb",0.197952583,0.727525565410186,0.507083078197827,0.945941732107139
"16","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,"701_31","carb",0.184901952,0.433078511751209,0.234872307886196,0.637744765844315
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,"673_28","carb",0.654324183,0.605133393218146,0.413127415878874,0.806018746328814
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,"3285_28","carb",0.396461911,0.577361102777441,0.375302259841118,0.780403874998196
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,"447_28","carb",0.6363184,0.899580446877123,0.712713714390173,1.0964415195325
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,"288_28","carb",0.623476143,0.820313084824689,0.614425785214866,1.02807650065164
"21","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,"701_31","carb",0.000735213,0.433078511751209,0.234872307886196,0.637744765844315
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,"673_28","carb",0.755506713,0.605133393218146,0.413127415878874,0.806018746328814
