"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,"311_31","den",5.524414525,6.6186987888537,5.21234669110488,7.99273568350553
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,"447_28","den",7.570308751,6.63261919156427,5.44646412830472,7.77793569469459
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,"288_28","den",2.911506818,7.47469204634966,6.33393844772772,8.59918228539314
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,"673_28","den",1.706253931,5.2952421181193,4.09343177965809,6.49612661212925
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,"3285_28","den",5.384362553,6.12434593228694,4.87768377176618,7.38883622802984
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,"673_28","den",3.959796168,5.2952421181193,4.09343177965809,6.49612661212925
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,"447_28","den",3.133596145,6.63261919156427,5.44646412830472,7.77793569469459
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,"288_28","den",7.07107026,7.47469204634966,6.33393844772772,8.59918228539314
"9","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,"3285_28","den",5.362878661,6.12434593228694,4.87768377176618,7.38883622802984
"10","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,"311_31","den",7.818658942,6.6186987888537,5.21234669110488,7.99273568350553
"11","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,"447_28","den",9.155565342,6.63261919156427,5.44646412830472,7.77793569469459
"12","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,"288_28","den",10.12720581,7.47469204634966,6.33393844772772,8.59918228539314
"13","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,"405_31","den",5.945336226,5.77662593406831,4.29411057479095,7.16937154202685
"14","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,"701_31","den",1.859831389,4.43924886062334,3.02649883677256,5.73575179665526
"15","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,"673_28","den",8.725233157,5.2952421181193,4.09343177965809,6.49612661212925
"16","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,"3285_28","den",7.74199097,6.12434593228694,4.87768377176618,7.38883622802984
"17","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,"447_28","den",5.618783252,6.63261919156427,5.44646412830472,7.77793569469459
"18","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,"288_28","den",4.812398797,7.47469204634966,6.33393844772772,8.59918228539314
"19","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,"701_31","den",2.283506126,4.43924886062334,3.02649883677256,5.73575179665526
"20","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,"673_28","den",5.52949998,5.2952421181193,4.09343177965809,6.49612661212925
"21","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,"3285_28","den",7.286756593,6.12434593228694,4.87768377176618,7.38883622802984
"22","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,"447_28","den",10.73864956,6.63261919156427,5.44646412830472,7.77793569469459
"23","CFAE10","280_31_3",4,311,31,"T90","F","PAST","E","300","31","AE_F",8.362,"311_31","den",4.195785798,6.6186987888537,5.21234669110488,7.99273568350553
"24","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","300","28","AE_F",8.097,"288_28","den",9.521613833,7.47469204634966,6.33393844772772,8.59918228539314
"25","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","3300","28","AE_F",11.355,"3285_28","den",6.04485674,6.12434593228694,4.87768377176618,7.38883622802984
"26","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","300","28","AF_F",10.805,"288_28","den",12.23693466,7.47469204634966,6.33393844772772,8.59918228539314
"27","CFAF3","400_31_3",6,405,31,"T90","F","PAST","F","420","31","AF_F",10.534,"405_31","den",14.0512642,5.77662593406831,4.29411057479095,7.16937154202685
"28","CFAF5","700_31_3",8,701,31,"T90","F","PAST","F","680","31","AF_F",10.342,"701_31","den",5.507703217,4.43924886062334,3.02649883677256,5.73575179665526
"29","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","680","28","AF_F",10.115,"673_28","den",3.964870654,5.2952421181193,4.09343177965809,6.49612661212925
"30","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","3300","28","AF_F",9.643,"3285_28","den",2.557571987,6.12434593228694,4.87768377176618,7.38883622802984
"31","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","420","28","AF_F",5.018,"447_28","den",6.74691112,6.63261919156427,5.44646412830472,7.77793569469459
"32","CFPA1","280_31_1",4,311,31,"T90","F","PSTR","A","300","31","PA_F",12.372,"311_31","den",0.02127731228,0.0294483698682494,-1.15672869882214,1.14596898615516
"33","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",14.24,"3285_28","den",0.9143258427,1.19406435012043,0.233549904444487,2.15126216049228
"34","CFPA11","400_31_2",6,405,31,"T90","F","PSTR","A","420","31","PA_F",10.967,"405_31","den",0.003829554434,0.0049351734738765,-1.44083584914827,1.42927198809006
"35","CFPA12","280_31_2",4,311,31,"T90","F","PSTR","A","300","31","PA_F",18.462,"311_31","den",0.004044270316,0.0294483698682494,-1.15672869882214,1.14596898615516
"36","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","300","28","PA_F",11.998,"288_28","den",0.1710285048,1.82967937823405,0.843540406096025,2.76913547367478
"37","CFPA20","700_31_2",8,701,31,"T90","F","PSTR","A","680","31","PA_F",10.441,"701_31","den",0.09539316157,-0.473934069046238,-1.63652447635017,0.772231269926727
"38","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","300","28","PA_F",16.909,"288_28","den",1.646460465,1.82967937823405,0.843540406096025,2.76913547367478
"39","CFPA22","2800_31_2",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",9.655,"3309_31","den",0.08119864669,-0.60616665824537,-1.82784584203127,0.538411220404074
"40","CFPA3","400_31_1",6,405,31,"T90","F","PSTR","A","420","31","PA_F",12.671,"405_31","den",0.002262383921,0.0049351734738765,-1.44083584914827,1.42927198809006
"41","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","680","28","PA_F",11.948,"673_28","den",1.656018971,1.32629693931956,0.315377639544278,2.33522767870365
"42","CFPA7","2800_31_1",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",11.518,"3309_31","den",0.1604445216,-0.60616665824537,-1.82784584203127,0.538411220404074
"43","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",7.292,"3285_28","den",0.8627121123,1.19406435012043,0.233549904444487,2.15126216049228
"44","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","680","28","PA_F",14.665,"673_28","den",0.6699472679,1.32629693931956,0.315377639544278,2.33522767870365
"45","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","420","28","PB_F",7.942,"447_28","den",3.590027701,1.80516618183968,0.42246066120671,3.25702303049065
"46","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","3300","28","PB_F",9.46,"3285_28","den",1.554897815,1.19406435012043,0.233549904444487,2.15126216049228
"47","CFPB2","280_28_1",4,288,28,"T90","F","PSTR","B","300","28","PB_F",10.94,"288_28","den",2.872672984,1.82967937823405,0.843540406096025,2.76913547367478
"48","CFPB3","400_31_1",6,405,31,"T90","F","PSTR","B","420","31","PB_F",12.899,"405_31","den",0,0.0049351734738765,-1.44083584914827,1.42927198809006
"49","CFPB5","700_31_1",8,701,31,"T90","F","PSTR","B","680","31","PB_F",9.71,"701_31","den",0.001922416752,-0.473934069046238,-1.63652447635017,0.772231269926727
"50","CFPB6","700_28_1",8,673,28,"T90","F","PSTR","B","680","28","PB_F",11.396,"673_28","den",2.294685425,1.32629693931956,0.315377639544278,2.33522767870365
"51","CFPB7","2800_31_1",10,3309,31,"T90","F","PSTR","B","3300","31","PB_F",8.536,"3309_31","den",0.1138706654,-0.60616665824537,-1.82784584203127,0.538411220404074
"52","CFPB9","280_31_1",4,311,31,"T90","F","PSTR","B","300","31","PB_F",9.076,"311_31","den",0.04319083297,0.0294483698682494,-1.15672869882214,1.14596898615516
"53","CFPC10","400_28_2",6,447,28,"T90","F","PSTR","C","420","28","PC_F",10.171,"447_28","den",0.02431750401,1.80516618183968,0.42246066120671,3.25702303049065
"54","CFPC11","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",12.342,"288_28","den",1.633923025,1.82967937823405,0.843540406096025,2.76913547367478
"55","CFPC12","700_31_2",8,701,31,"T90","F","PSTR","C","680","31","PC_F",11.884,"701_31","den",0.003141566856,-0.473934069046238,-1.63652447635017,0.772231269926727
"56","CFPC2","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",10.872,"288_28","den",1.259067358,1.82967937823405,0.843540406096025,2.76913547367478
"57","CFPC6","700_28_2",8,673,28,"T90","F","PSTR","C","680","28","PC_F",11.821,"673_28","den",0.07771260997,1.32629693931956,0.315377639544278,2.33522767870365
"58","CFPC8","2800_28_2",10,3285,28,"T90","F","PSTR","C","3300","28","PC_F",10.075,"3285_28","den",0.4835572024,1.19406435012043,0.233549904444487,2.15126216049228
"59","CFPD1","280_31_2",4,311,31,"T90","F","PSTR","D","300","31","PD_F",12.425,"311_31","den",0,0.0294483698682494,-1.15672869882214,1.14596898615516
"60","CFPD11","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.24,"3285_28","den",1.678176796,1.19406435012043,0.233549904444487,2.15126216049228
"61","CFPD2","280_28_2",4,288,28,"T90","F","PSTR","D","300","28","PD_F",11.427,"288_28","den",4.637499271,1.82967937823405,0.843540406096025,2.76913547367478
"62","CFPD5","700_31_2",8,701,31,"T90","F","PSTR","D","680","31","PD_F",8.533,"701_31","den",0.006563012735,-0.473934069046238,-1.63652447635017,0.772231269926727
"63","CFPD6","400_28_2",6,447,28,"T90","F","PSTR","D","420","28","PD_F",8.239,"447_28","den",2.419127761,1.80516618183968,0.42246066120671,3.25702303049065
"64","CFPD7","2800_31_2",10,3309,31,"T90","F","PSTR","D","3300","31","PD_F",11.931,"3309_31","den",0.6727760393,-0.60616665824537,-1.82784584203127,0.538411220404074
"65","CFPD8","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.965,"3285_28","den",1.04210262,1.19406435012043,0.233549904444487,2.15126216049228
"66","CFPD9","700_28_2",8,673,28,"T90","F","PSTR","D","680","28","PD_F",7.055,"673_28","den",0.5768285768,1.32629693931956,0.315377639544278,2.33522767870365
"67","CFPE10","280_28_1",4,288,28,"T90","F","PSTR","E","300","28","PE_F",11.543,"288_28","den",0.378400231,1.82967937823405,0.843540406096025,2.76913547367478
"68","CFPE12","700_28_2",8,673,28,"T90","F","PSTR","E","680","28","PE_F",13.964,"673_28","den",0.3328559152,1.32629693931956,0.315377639544278,2.33522767870365
"69","CFPE14","280_28_2",4,288,28,"T90","F","PSTR","E","300","28","PE_F",8.052,"288_28","den",1.384930656,1.82967937823405,0.843540406096025,2.76913547367478
"70","CFPE2","280_28_3",4,288,28,"T90","F","PSTR","E","300","28","PE_F",10.804,"288_28","den",0.7411840928,1.82967937823405,0.843540406096025,2.76913547367478
"71","CFPE40","2800_28_1",10,3285,28,"T90","F","PSTR","E","3300","28","PE_F",9.408,"3285_28","den",0.7758211388,1.19406435012043,0.233549904444487,2.15126216049228
"72","CFPE42","2800_28_1",10,3285,28,"T90","F","PSTR","E","3300","28","PE_F",9.626,"3285_28","den",1.302721795,1.19406435012043,0.233549904444487,2.15126216049228
"73","CFPE6","700_28_3",8,673,28,"T90","F","PSTR","E","680","28","PE_F",10.186,"673_28","den",1.078868999,1.32629693931956,0.315377639544278,2.33522767870365
"74","CFPE8","2800_28_3",10,3285,28,"T90","F","PSTR","E","3300","28","PE_F",11.411,"3285_28","den",1.009902725,1.19406435012043,0.233549904444487,2.15126216049228
"75","CFPF1","280_31_3",4,311,31,"T90","F","PSTR","F","300","31","PF_F",10.667,"311_31","den",0.2531123444,0.0294483698682494,-1.15672869882214,1.14596898615516
"76","CFPF2","280_28_3",4,288,28,"T90","F","PSTR","F","300","28","PF_F",11.07,"288_28","den",0.7689481767,1.82967937823405,0.843540406096025,2.76913547367478
"77","CFPF6","700_28_3",8,673,28,"T90","F","PSTR","F","680","28","PF_F",11.765,"673_28","den",0.4930870354,1.32629693931956,0.315377639544278,2.33522767870365
"78","CFPF7","2800_31_3",10,3309,31,"T90","F","PSTR","F","3300","31","PF_F",12.335,"3309_31","den",0.116224396,-0.60616665824537,-1.82784584203127,0.538411220404074
"79","CFPF8","2800_28_3",10,3285,28,"T90","F","PSTR","F","3300","28","PF_F",15.117,"3285_28","den",2.192410311,1.19406435012043,0.233549904444487,2.15126216049228
"80","CFSA1","280_31_1",4,311,31,"T90","F","SSID","A","300","31","SA_F",10.283,"311_31","den",3.880705394,2.48275365524782,1.32447906978313,3.63389268562182
"81","CFSA10","2800_28_1",10,3285,28,"T90","F","SSID","A","3300","28","SA_F",6.446,"3285_28","den",1.833169571,2.07279423817556,1.01466636037991,3.09707003484601
"82","CFSA14","280_28_1",4,288,28,"T90","F","SSID","A","300","28","SA_F",4.661,"288_28","den",1.645998713,3.34880400919156,2.26819981770301,4.46980269008419
"83","CFSA2","400_28_1",6,447,28,"T90","F","SSID","A","420","28","SA_F",8.3,"447_28","den",2.284727521,3.50774980313759,2.42730876419101,4.50163491202524
"84","CFSA3","400_31_1",6,405,31,"T90","F","SSID","A","420","31","SA_F",10.181,"405_31","den",2.500753012,2.64169944919384,1.5678750883748,3.71725100703477
"85","CFSA5","700_31_1",8,701,31,"T90","F","SSID","A","680","31","SA_F",8.918,"701_31","den",2.940978582,2.12161304011558,1.09084132662766,3.15813655493873
"86","CFSA6","700_28_1",8,673,28,"T90","F","SSID","A","680","28","SA_F",9.068,"673_28","den",2.83458315,2.98766339405933,2.01904367161324,3.97261887239799
"87","CFSA7","2800_31_1",10,3309,31,"T90","F","SSID","A","3300","31","SA_F",8.812,"3309_31","den",0.2621326172,1.20674388423181,0.171051302498403,2.2901209457904
"88","CFSB1","280_31_1",4,311,31,"T90","F","SSID","B","300","31","SB_F",12.31,"311_31","den",2.719542907,2.48275365524782,1.32447906978313,3.63389268562182
"89","CFSB10","400_31_1",6,405,31,"T90","F","SSID","B","420","31","SB_F",11.296,"405_31","den",2.61268333,2.64169944919384,1.5678750883748,3.71725100703477
"90","CFSB13","400_28_1",6,447,28,"T90","F","SSID","B","420","28","SB_F",12.975,"447_28","den",3.89734104,3.50774980313759,2.42730876419101,4.50163491202524
"91","CFSB2","280_28_1",4,288,28,"T90","F","SSID","B","300","28","SB_F",10.805,"288_28","den",4.084531375,3.34880400919156,2.26819981770301,4.46980269008419
"92","CFSB3","2800_28_1",10,3285,28,"T90","F","SSID","B","3300","28","SB_F",9.702,"3285_28","den",0.7927160282,2.07279423817556,1.01466636037991,3.09707003484601
"93","CFSB5","700_31_1",8,701,31,"T90","F","SSID","B","680","31","SB_F",11.185,"701_31","den",2.867683872,2.12161304011558,1.09084132662766,3.15813655493873
"94","CFSB5","700_31_1",8,701,31,"T90","F","SSID","B","680","31","SB_F",11.185,"701_31","den",2.867683872,2.12161304011558,1.09084132662766,3.15813655493873
"95","CFSB6","700_28_1",8,673,28,"T90","F","SSID","B","680","28","SB_F",12.153,"673_28","den",2.322325837,2.98766339405933,2.01904367161324,3.97261887239799
"96","CFSB6","700_28_1",8,673,28,"T90","F","SSID","B","680","28","SB_F",12.153,"673_28","den",2.322325837,2.98766339405933,2.01904367161324,3.97261887239799
"97","CFSB6","700_28_1",8,673,28,"T90","F","SSID","B","680","28","SB_F",12.153,"673_28","den",2.322325837,2.98766339405933,2.01904367161324,3.97261887239799
"98","CFSB7","2800_31_1",10,3309,31,"T90","F","SSID","B","3300","31","SB_F",11.199,"3309_31","den",0.30335139,1.20674388423181,0.171051302498403,2.2901209457904
"99","CFSC14","400_28_2",6,447,28,"T90","F","SSID","C","420","28","SC_F",10.229,"447_28","den",5.088373306,3.50774980313759,2.42730876419101,4.50163491202524
"100","CFSC2","280_28_2",4,288,28,"T90","F","SSID","C","300","28","SC_F",8.893,"288_28","den",2.082386896,3.34880400919156,2.26819981770301,4.46980269008419
"101","CFSC5","700_31_2",8,701,31,"T90","F","SSID","C","680","31","SC_F",9.915,"701_31","den",1.554009077,2.12161304011558,1.09084132662766,3.15813655493873
"102","CFSC6","700_28_2",8,673,28,"T90","F","SSID","C","680","28","SC_F",8.956,"673_28","den",2.698202389,2.98766339405933,2.01904367161324,3.97261887239799
"103","CFSC7","2800_31_2",10,3309,31,"T90","F","SSID","C","3300","31","SC_F",9.433,"3309_31","den",4.775265018,1.20674388423181,0.171051302498403,2.2901209457904
"104","CFSC9","2800_28_2",10,3285,28,"T90","F","SSID","C","3300","28","SC_F",9.262,"3285_28","den",1.591664867,2.07279423817556,1.01466636037991,3.09707003484601
"105","CFSD1","280_31_2",4,311,31,"T90","F","SSID","D","300","31","SD_F",10.682,"311_31","den",3.313113158,2.48275365524782,1.32447906978313,3.63389268562182
"106","CFSD11","280_28_2",4,288,28,"T90","F","SSID","D","300","28","SD_F",10.905,"288_28","den",3.300513542,3.34880400919156,2.26819981770301,4.46980269008419
"107","CFSD3","400_31_2",6,405,31,"T90","F","SSID","D","420","31","SD_F",10.206,"405_31","den",0.5267489712,2.64169944919384,1.5678750883748,3.71725100703477
"108","CFSD4","280_28_3",4,288,28,"T90","F","SSID","D","300","28","SD_F",11.381,"288_28","den",3.788881729,3.34880400919156,2.26819981770301,4.46980269008419
"109","CFSD5","700_31_2",8,701,31,"T90","F","SSID","D","680","31","SD_F",12.59,"701_31","den",2.265441741,2.12161304011558,1.09084132662766,3.15813655493873
"110","CFSD6","700_28_2",8,673,28,"T90","F","SSID","D","680","28","SD_F",9.677,"673_28","den",3.504581467,2.98766339405933,2.01904367161324,3.97261887239799
"111","CFSD7","2800_31_2",10,3309,31,"T90","F","SSID","D","3300","31","SD_F",11.137,"3309_31","den",2.031487579,1.20674388423181,0.171051302498403,2.2901209457904
"112","CFSD8","2800_28_2",10,3285,28,"T90","F","SSID","D","3300","28","SD_F",8.568,"3285_28","den",1.647122904,2.07279423817556,1.01466636037991,3.09707003484601
"113","CFSD9","400_28_2",6,447,28,"T90","F","SSID","D","420","28","SD_F",11.455,"447_28","den",3.777323517,3.50774980313759,2.42730876419101,4.50163491202524
"114","CFSE1","280_31_3",4,311,31,"T90","F","SSID","E","300","31","SE_F",8.451,"311_31","den",0.8128426616,2.48275365524782,1.32447906978313,3.63389268562182
"115","CFSE11","400_28_3",6,447,28,"T90","F","SSID","E","420","28","SE_F",1.88,"447_28","den",1.685106383,3.50774980313759,2.42730876419101,4.50163491202524
"116","CFSE3","400_31_3",6,405,31,"T90","F","SSID","E","420","31","SE_F",9.104,"405_31","den",2.696836555,2.64169944919384,1.5678750883748,3.71725100703477
"117","CFSE5","700_31_3",8,701,31,"T90","F","SSID","E","680","31","SE_F",9.119,"701_31","den",0.1954233075,2.12161304011558,1.09084132662766,3.15813655493873
"118","CFSE6","700_28_3",8,673,28,"T90","F","SSID","E","680","28","SE_F",8.178,"673_28","den",1.125259854,2.98766339405933,2.01904367161324,3.97261887239799
