"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,"311_31","pro",0.45,0.189226918496583,0.083751718263724,0.293885460729509
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,"447_28","pro",0.197,0.211149798840685,0.122921467427837,0.301644897917802
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,"288_28","pro",0.116,0.236222097291278,0.147239468368526,0.328407036941787
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,"673_28","pro",0.234,0.154315638976221,0.0613543017280357,0.247626128794719
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,"3285_28","pro",0.351,0.109690310860096,0.0215098710489949,0.198439653426413
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,"673_28","pro",0.095,0.154315638976221,0.0613543017280357,0.247626128794719
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,"447_28","pro",0.233,0.211149798840685,0.122921467427837,0.301644897917802
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,"288_28","pro",0.561,0.236222097291278,0.147239468368526,0.328407036941787
"9","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,"405_31","pro",0.043,0.164154620045989,0.0685293811493413,0.265531479782748
"10","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,"701_31","pro",0.12,0.107320460181526,0.0106652245986005,0.200492844511443
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,"3285_28","pro",0.13,0.109690310860096,0.0215098710489949,0.198439653426413
"12","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,"311_31","pro",0.17,0.189226918496583,0.083751718263724,0.293885460729509
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,"447_28","pro",0.089,0.211149798840685,0.122921467427837,0.301644897917802
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,"288_28","pro",0.161,0.236222097291278,0.147239468368526,0.328407036941787
"15","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,"405_31","pro",0.07,0.164154620045989,0.0685293811493413,0.265531479782748
"16","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,"701_31","pro",0.025,0.107320460181526,0.0106652245986005,0.200492844511443
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,"673_28","pro",0.122,0.154315638976221,0.0613543017280357,0.247626128794719
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,"3285_28","pro",0.09,0.109690310860096,0.0215098710489949,0.198439653426413
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,"447_28","pro",0.275,0.211149798840685,0.122921467427837,0.301644897917802
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,"288_28","pro",0.173,0.236222097291278,0.147239468368526,0.328407036941787
"21","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,"701_31","pro",0.072,0.107320460181526,0.0106652245986005,0.200492844511443
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,"673_28","pro",0.109,0.154315638976221,0.0613543017280357,0.247626128794719
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,"3285_28","pro",0.258,0.109690310860096,0.0215098710489949,0.198439653426413
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,"447_28","pro",0.164,0.211149798840685,0.122921467427837,0.301644897917802
"25","CFAE10","280_31_3",4,311,31,"T90","F","PAST","E","300","31","AE_F",8.362,"311_31","pro",0.07,0.189226918496583,0.083751718263724,0.293885460729509
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","300","28","AE_F",8.097,"288_28","pro",0.093,0.236222097291278,0.147239468368526,0.328407036941787
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","3300","28","AE_F",11.355,"3285_28","pro",0.033,0.109690310860096,0.0215098710489949,0.198439653426413
