"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,0.759,"pro",0.45,0.188027699495917,0.103469850347829,0.270881841508775
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,0.624,"pro",0.197,0.195962338289926,0.12866385429524,0.259741789431913
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,0.637,"pro",0.116,0.233457546119231,0.166115110841122,0.301674068053778
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,0.615,"pro",0.234,0.155005527114619,0.0853886590966993,0.222577319886722
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,1.212,"pro",0.351,0.128802600096655,0.0616914908873095,0.195675289440983
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,1.191,"pro",0.095,0.155005527114619,0.0853886590966993,0.222577319886722
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,0.602,"pro",0.233,0.195962338289926,0.12866385429524,0.259741789431913
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,0.981,"pro",0.561,0.233457546119231,0.166115110841122,0.301674068053778
"9","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,0.478,"pro",0.043,0.150532491666612,0.070437911755087,0.234502961244007
"10","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,0.494,"pro",0.12,0.109575680491305,0.0293827900259781,0.189268711856269
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,0.552,"pro",0.13,0.128802600096655,0.0616914908873095,0.195675289440983
"12","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,0.642,"pro",0.17,0.188027699495917,0.103469850347829,0.270881841508775
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,0.881,"pro",0.089,0.195962338289926,0.12866385429524,0.259741789431913
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,1.187,"pro",0.161,0.233457546119231,0.166115110841122,0.301674068053778
"15","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,0.511,"pro",0.07,0.150532491666612,0.070437911755087,0.234502961244007
"16","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,0.468,"pro",0.025,0.109575680491305,0.0293827900259781,0.189268711856269
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,0.538,"pro",0.122,0.155005527114619,0.0853886590966993,0.222577319886722
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,0.591,"pro",0.09,0.128802600096655,0.0616914908873095,0.195675289440983
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,0.954,"pro",0.275,0.195962338289926,0.12866385429524,0.259741789431913
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,0.636,"pro",0.173,0.233457546119231,0.166115110841122,0.301674068053778
"21","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,0.555,"pro",0.072,0.109575680491305,0.0293827900259781,0.189268711856269
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,0.651,"pro",0.109,0.155005527114619,0.0853886590966993,0.222577319886722
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,0.587,"pro",0.258,0.128802600096655,0.0616914908873095,0.195675289440983
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,1.591,"pro",0.164,0.195962338289926,0.12866385429524,0.259741789431913
"25","CFAE10","280_31_3",4,311,31,"T90","F","PAST","E","300","31","AE_F",8.362,1.256,"pro",0.07,0.188027699495917,0.103469850347829,0.270881841508775
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","300","28","AE_F",8.097,0.679,"pro",0.093,0.233457546119231,0.166115110841122,0.301674068053778
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","3300","28","AE_F",11.355,0.484,"pro",0.033,0.128802600096655,0.0616914908873095,0.195675289440983
"28","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","300","28","AF_F",10.805,1.157,"pro",0.102,0.233457546119231,0.166115110841122,0.301674068053778
"29","CFAF3","400_31_3",6,405,31,"T90","F","PAST","F","420","31","AF_F",10.534,0.997,"pro",0.087,0.150532491666612,0.070437911755087,0.234502961244007
"30","CFAF5","700_31_3",8,701,31,"T90","F","PAST","F","680","31","AF_F",10.342,0.822,"pro",0.09,0.109575680491305,0.0293827900259781,0.189268711856269
"31","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","680","28","AF_F",10.115,0.84,"pro",0.132,0.155005527114619,0.0853886590966993,0.222577319886722
