"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA15","400_28",2,447,28,"T0","F","PAST","A","T0","T0","AA_F",12.00066667,"T0","host",2.325267997,1.82515445299625,1.54297822951882,2.09714669625945
"2","CFAB19","400_28",2,447,28,"T0","F","PAST","B","T0","T0","AB_F",11.39933333,"T0","host",1.317340251,1.82515445299625,1.54297822951882,2.09714669625945
"3","CFAC15","400_28",2,447,28,"T0","F","PAST","C","T0","T0","AC_F",10.686,"T0","host",2.058804767,1.82515445299625,1.54297822951882,2.09714669625945
"4","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","host",2.365122748,1.82515445299625,1.54297822951882,2.09714669625945
"5","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","host",2.365122748,1.82515445299625,1.54297822951882,2.09714669625945
"6","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","host",1.733187163,1.82515445299625,1.54297822951882,2.09714669625945
"7","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","host",1.733187163,1.82515445299625,1.54297822951882,2.09714669625945
"8","CFAF11","400_28",2,447,28,"T0","F","PAST","F","T0","T0","AF_F",6.160666667,"T0","host",2.161405571,1.82515445299625,1.54297822951882,2.09714669625945
"9","CFPB8","400_28",2,447,28,"T0","F","PSTR","B","T0","T0","PB_F",7.280333333,"T0","host",1.065649513,1.28502408852984,0.966458399811627,1.62185419524122
"10","CFPE13","400_28",2,447,28,"T0","F","PSTR","E","T0","T0","PE_F",8.785333333,"T0","host",1.098071551,1.28502408852984,0.966458399811627,1.62185419524122
"11","CFSA9","400_28",2,447,28,"T0","F","SSID","A","T0","T0","SA_F",8.170666667,"T0","host",1.008753175,1.66753775640928,1.36393575690596,1.96546447760458
"12","CFSB9","400_28",2,447,28,"T0","F","SSID","B","T0","T0","SB_F",11.544,"T0","host",1.577018011,1.66753775640928,1.36393575690596,1.96546447760458
"13","CFSC11","400_28",2,447,28,"T0","F","SSID","C","T0","T0","SC_F",9.465666667,"T0","host",2.096572684,1.66753775640928,1.36393575690596,1.96546447760458
"14","CFSD12","400_28",2,447,28,"T0","F","SSID","D","T0","T0","SD_F",9.394333333,"T0","host",1.681157498,1.66753775640928,1.36393575690596,1.96546447760458
"15","CFSE9","400_28",2,447,28,"T0","F","SSID","E","T0","T0","SE_F",9.466666667,"T0","host",1.116762788,1.66753775640928,1.36393575690596,1.96546447760458
"16","CNAA13","400_28",2,447,28,"T0","N","PAST","A","T0","T0","AA_N",7.16,"T0","host",1.775449795,1.82515445299625,1.54297822951882,2.09714669625945
"17","CNAC9","400_28",2,447,28,"T0","N","PAST","C","T0","T0","AC_N",9.716333333,"T0","host",1.309519491,1.82515445299625,1.54297822951882,2.09714669625945
"18","CNAD12","400_28",2,447,28,"T0","N","PAST","D","T0","T0","AD_N",10.35566667,"T0","host",0.768345326,1.82515445299625,1.54297822951882,2.09714669625945
"19","CNAE9","400_28",2,447,28,"T0","N","PAST","E","T0","T0","AE_N",9.664,"T0","host",1.843591996,1.82515445299625,1.54297822951882,2.09714669625945
"20","CNAF9","400_28",2,447,28,"T0","N","PAST","F","T0","T0","AF_N",10.11366667,"T0","host",2.003082565,1.82515445299625,1.54297822951882,2.09714669625945
"21","CNPA9","400_28",2,447,28,"T0","N","PSTR","A","T0","T0","PA_N",10.44766667,"T0","host",0.44248854,1.28502408852984,0.966458399811627,1.62185419524122
"22","CNPB9","400_28",2,447,28,"T0","N","PSTR","B","T0","T0","PB_N",11.17033333,"T0","host",0.967239162,1.28502408852984,0.966458399811627,1.62185419524122
"23","CNPC10","400_28",2,447,28,"T0","N","PSTR","C","T0","T0","PC_N",10.55266667,"T0","host",1.495374009,1.28502408852984,0.966458399811627,1.62185419524122
"24","CNPD9","400_28",2,447,28,"T0","N","PSTR","D","T0","T0","PD_N",7.814333333,"T0","host",1.633776762,1.28502408852984,0.966458399811627,1.62185419524122
"25","CNPE10","400_28",2,447,28,"T0","N","PSTR","E","T0","T0","PE_N",10.709,"T0","host",1.757899697,1.28502408852984,0.966458399811627,1.62185419524122
"26","CNPF15","400_28",2,447,28,"T0","N","PSTR","F","T0","T0","PF_N",9.076,"T0","host",1.800674048,1.28502408852984,0.966458399811627,1.62185419524122
"27","CNSB15","400_28",2,447,28,"T0","N","SSID","B","T0","T0","SB_N",10.22766667,"T0","host",2.182382278,1.66753775640928,1.36393575690596,1.96546447760458
"28","CNSC9","400_28",2,447,28,"T0","N","SSID","C","T0","T0","SC_N",11.61133333,"T0","host",1.615917276,1.66753775640928,1.36393575690596,1.96546447760458
"29","CNSD10","400_28",2,447,28,"T0","N","SSID","D","T0","T0","SD_N",11.04566667,"T0","host",1.813452016,1.66753775640928,1.36393575690596,1.96546447760458
"30","CNSE9","400_28",2,447,28,"T0","N","SSID","E","T0","T0","SE_N",10.54866667,"T0","host",1.055579505,1.66753775640928,1.36393575690596,1.96546447760458
"31","CNSF22","400_28",2,447,28,"T0","N","SSID","F","T0","T0","SF_N",10.542,"T0","host",2.535837484,1.66753775640928,1.36393575690596,1.96546447760458
