"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,"311_31","host",1.919359086,0.990468634501908,0.536096911772012,1.44662560118696
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,"447_28","host",0.893375514,1.06334267635552,0.655488947911183,1.46674254576937
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,"288_28","host",0.854523864,1.14082040621688,0.717783967333752,1.53926046406704
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,"673_28","host",0.646870715,0.644729995867156,0.205633347854545,1.0686212555179
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,"3285_28","host",1.928462679,1.00657897563998,0.513412883589663,1.50195844169777
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,"673_28","host",0.4603432,0.644729995867156,0.205633347854545,1.0686212555179
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,"447_28","host",1.176824862,1.06334267635552,0.655488947911183,1.46674254576937
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,"288_28","host",1.914433558,1.14082040621688,0.717783967333752,1.53926046406704
"9","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,"405_31","host",0.531166084,0.912990904640546,0.480259927467148,1.33801977287418
"10","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,"701_31","host",0.677050765,0.49437822415218,0.0613370642565753,0.910092399105363
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,"3285_28","host",0.698558542,1.00657897563998,0.513412883589663,1.50195844169777
"12","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,"311_31","host",0.709564075,0.990468634501908,0.536096911772012,1.44662560118696
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,"447_28","host",0.581979821,1.06334267635552,0.655488947911183,1.46674254576937
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,"288_28","host",1.18619568,1.14082040621688,0.717783967333752,1.53926046406704
"15","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,"405_31","host",0.352242084,0.912990904640546,0.480259927467148,1.33801977287418
"16","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,"701_31","host",0.35827662,0.49437822415218,0.0613370642565753,0.910092399105363
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,"673_28","host",0.898666905,0.644729995867156,0.205633347854545,1.0686212555179
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,"3285_28","host",0.559053448,1.00657897563998,0.513412883589663,1.50195844169777
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,"447_28","host",1.063928372,1.06334267635552,0.655488947911183,1.46674254576937
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,"288_28","host",0.912011192,1.14082040621688,0.717783967333752,1.53926046406704
"21","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,"701_31","host",0.150861647,0.49437822415218,0.0613370642565753,0.910092399105363
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,"673_28","host",0.939950082,0.644729995867156,0.205633347854545,1.0686212555179
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,"3285_28","host",1.390618356,1.00657897563998,0.513412883589663,1.50195844169777
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,"447_28","host",1.233075589,1.06334267635552,0.655488947911183,1.46674254576937
"25","CFAE10","280_31_3",4,311,31,"T90","F","PAST","E","300","31","AE_F",8.362,"311_31","host",0.615518245,0.990468634501908,0.536096911772012,1.44662560118696
