"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,0.759,"host",1.919359086,0.992505789037243,0.532452279420994,1.45686260154551
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,0.624,"host",0.893375514,1.06561603226436,0.672821768212924,1.47446762527291
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,0.637,"host",0.854523864,1.13979408883729,0.735932524540042,1.5462277783036
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,0.615,"host",0.646870715,0.637064172543023,0.214479746996006,1.0471847913059
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,1.212,"host",1.928462679,1.00397094328329,0.508183902050532,1.48131834402825
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,1.191,"host",0.4603432,0.637064172543023,0.214479746996006,1.0471847913059
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,0.602,"host",1.176824862,1.06561603226436,0.672821768212924,1.47446762527291
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,0.981,"host",1.914433558,1.13979408883729,0.735932524540042,1.5462277783036
"9","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,0.478,"host",0.531166084,0.918327732464315,0.486220132478209,1.37592125151501
"10","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,0.494,"host",0.677050765,0.489775872742979,0.0539557959644237,0.92327135256607
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,0.552,"host",0.698558542,1.00397094328329,0.508183902050532,1.48131834402825
"12","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,0.642,"host",0.709564075,0.992505789037243,0.532452279420994,1.45686260154551
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,0.881,"host",0.581979821,1.06561603226436,0.672821768212924,1.47446762527291
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,1.187,"host",1.18619568,1.13979408883729,0.735932524540042,1.5462277783036
"15","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,0.511,"host",0.352242084,0.918327732464315,0.486220132478209,1.37592125151501
"16","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,0.468,"host",0.35827662,0.489775872742979,0.0539557959644237,0.92327135256607
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,0.538,"host",0.898666905,0.637064172543023,0.214479746996006,1.0471847913059
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,0.591,"host",0.559053448,1.00397094328329,0.508183902050532,1.48131834402825
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,0.954,"host",1.063928372,1.06561603226436,0.672821768212924,1.47446762527291
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,0.636,"host",0.912011192,1.13979408883729,0.735932524540042,1.5462277783036
"21","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,0.555,"host",0.150861647,0.489775872742979,0.0539557959644237,0.92327135256607
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,0.651,"host",0.939950082,0.637064172543023,0.214479746996006,1.0471847913059
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,0.587,"host",1.390618356,1.00397094328329,0.508183902050532,1.48131834402825
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,1.591,"host",1.233075589,1.06561603226436,0.672821768212924,1.47446762527291
"25","CFAE10","280_31_3",4,311,31,"T90","F","PAST","E","300","31","AE_F",8.362,1.256,"host",0.615518245,0.992505789037243,0.532452279420994,1.45686260154551
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","300","28","AE_F",8.097,0.679,"host",0.825304285,1.13979408883729,0.735932524540042,1.5462277783036
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","3300","28","AE_F",11.355,0.484,"host",0.410241102,1.00397094328329,0.508183902050532,1.48131834402825
"28","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","300","28","AF_F",10.805,1.157,"host",0.879255661,1.13979408883729,0.735932524540042,1.5462277783036
"29","CFAF3","400_31_3",6,405,31,"T90","F","PAST","F","420","31","AF_F",10.534,0.997,"host",0.722850662,0.918327732464315,0.486220132478209,1.37592125151501
"30","CFAF5","700_31_3",8,701,31,"T90","F","PAST","F","680","31","AF_F",10.342,0.822,"host",0.753847693,0.489775872742979,0.0539557959644237,0.92327135256607
"31","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","680","28","AF_F",10.115,0.84,"host",0.308233195,0.637064172543023,0.214479746996006,1.0471847913059
"32","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","3300","28","AF_F",9.643,1.089,"host",1.080486589,1.00397094328329,0.508183902050532,1.48131834402825
"33","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","420","28","AF_F",5.018,1.893,"host",2.570088425,1.06561603226436,0.672821768212924,1.47446762527291
"34","CFPA1","280_31_1",4,311,31,"T90","F","PSTR","A","300","31","PA_F",12.372,0.647,"host",0.665864782,0.706683708417214,0.345155679835442,1.08654406286062
"35","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",14.24,0.878,"host",1.31834938,1.23812041003006,0.906562577239797,1.58378986431827
"36","CFPA11","400_31_2",6,405,31,"T90","F","PSTR","A","420","31","PA_F",10.967,1.14,"host",0.686398829,0.564677797347247,0.045287536480855,1.08204442012201
"37","CFPA12","280_31_2",4,311,31,"T90","F","PSTR","A","300","31","PA_F",18.462,0.298,"host",0.219722158,0.706683708417214,0.345155679835442,1.08654406286062
"38","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","300","28","PA_F",11.998,0.667,"host",1.216652956,1.38427223605075,1.05329270690149,1.70213076199881
"39","CFPA20","700_31_2",8,701,31,"T90","F","PSTR","A","680","31","PA_F",10.441,1.58,"host",1.016070345,0.636495747145748,0.223722157518768,1.06696479857536
"40","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","300","28","PA_F",16.909,1.36,"host",2.060504628,1.38427223605075,1.05329270690149,1.70213076199881
"41","CFPA22","2800_31_2",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",9.655,0.57,"host",0.411350011,0.560531882396519,0.177523112961357,0.92428693508101
"42","CFPA3","400_31_1",6,405,31,"T90","F","PSTR","A","420","31","PA_F",12.671,0.671,"host",0.636948871,0.564677797347247,0.045287536480855,1.08204442012201
"43","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","680","28","PA_F",11.948,1.758,"host",2.3385914,1.31408427477929,0.939828456223978,1.68176627662769
"44","CFPA7","2800_31_1",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",11.518,0.478,"host",0.409285776,0.560531882396519,0.177523112961357,0.92428693508101
"45","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",7.292,0.754,"host",0.653322427,1.23812041003006,0.906562577239797,1.58378986431827
"46","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","680","28","PA_F",14.665,1.773,"host",2.442804003,1.31408427477929,0.939828456223978,1.68176627662769
"47","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","420","28","PB_F",7.942,1.007,"host",1.780600146,1.24226632498079,0.732595053189436,1.74767934276196
"48","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","3300","28","PB_F",9.46,0.581,"host",1.431820478,1.23812041003006,0.906562577239797,1.58378986431827
"49","CFPB2","280_28_1",4,288,28,"T90","F","PSTR","B","300","28","PB_F",10.94,1.462,"host",1.908144504,1.38427223605075,1.05329270690149,1.70213076199881
"50","CFPB3","400_31_1",6,405,31,"T90","F","PSTR","B","420","31","PB_F",12.899,0.426,"host",0.793479738,0.564677797347247,0.045287536480855,1.08204442012201
"51","CFPB6","700_28_1",8,673,28,"T90","F","PSTR","B","680","28","PB_F",11.396,1.799,"host",2.941901042,1.31408427477929,0.939828456223978,1.68176627662769
"52","CFPB7","2800_31_1",10,3309,31,"T90","F","PSTR","B","3300","31","PB_F",8.536,0.937,"host",0.556135446,0.560531882396519,0.177523112961357,0.92428693508101
"53","CFPB9","280_31_1",4,311,31,"T90","F","PSTR","B","300","31","PB_F",9.076,0.606,"host",0.795572644,0.706683708417214,0.345155679835442,1.08654406286062
"54","CFPC10","400_28_2",6,447,28,"T90","F","PSTR","C","420","28","PC_F",10.171,1.032,"host",0.501018561,1.24226632498079,0.732595053189436,1.74767934276196
"55","CFPC11","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",12.342,1.215,"host",2.015423412,1.38427223605075,1.05329270690149,1.70213076199881
"56","CFPC12","700_31_2",8,701,31,"T90","F","PSTR","C","680","31","PC_F",11.884,0.463,"host",0.551993647,0.636495747145748,0.223722157518768,1.06696479857536
"57","CFPC2","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",10.872,1.472,"host",1.587911559,1.38427223605075,1.05329270690149,1.70213076199881
"58","CFPC6","700_28_2",8,673,28,"T90","F","PSTR","C","680","28","PC_F",11.821,0.888,"host",0.519161312,1.31408427477929,0.939828456223978,1.68176627662769
"59","CFPC8","2800_28_2",10,3285,28,"T90","F","PSTR","C","3300","28","PC_F",10.075,0.546,"host",1.076505868,1.23812041003006,0.906562577239797,1.58378986431827
"60","CFPD1","280_31_2",4,311,31,"T90","F","PSTR","D","300","31","PD_F",12.425,1.69,"host",0.884187756,0.706683708417214,0.345155679835442,1.08654406286062
"61","CFPD11","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.24,1.105,"host",1.963849198,1.23812041003006,0.906562577239797,1.58378986431827
"62","CFPD2","280_28_2",4,288,28,"T90","F","PSTR","D","300","28","PD_F",11.427,0.7,"host",1.525666669,1.38427223605075,1.05329270690149,1.70213076199881
"63","CFPD5","700_31_2",8,701,31,"T90","F","PSTR","D","680","31","PD_F",8.533,0.645,"host",0.499400089,0.636495747145748,0.223722157518768,1.06696479857536
"64","CFPD6","400_28_2",6,447,28,"T90","F","PSTR","D","420","28","PD_F",8.239,0.789,"host",1.203048998,1.24226632498079,0.732595053189436,1.74767934276196
"65","CFPD7","2800_31_2",10,3309,31,"T90","F","PSTR","D","3300","31","PD_F",11.931,0.461,"host",0.572089911,0.560531882396519,0.177523112961357,0.92428693508101
"66","CFPD8","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.965,4.143,"host",2.434758724,1.23812041003006,0.906562577239797,1.58378986431827
"67","CFPD9","700_28_2",8,673,28,"T90","F","PSTR","D","680","28","PD_F",7.055,0.78,"host",0.666433518,1.31408427477929,0.939828456223978,1.68176627662769
"68","CFPE10","280_28_1",4,288,28,"T90","F","PSTR","E","300","28","PE_F",11.543,1.083,"host",1.224272057,1.38427223605075,1.05329270690149,1.70213076199881
"69","CFPE12","700_28_2",8,673,28,"T90","F","PSTR","E","680","28","PE_F",13.964,0.394,"host",0.190003732,1.31408427477929,0.939828456223978,1.68176627662769
"70","CFPE14","280_28_2",4,288,28,"T90","F","PSTR","E","300","28","PE_F",8.052,0.994,"host",1.122366269,1.38427223605075,1.05329270690149,1.70213076199881
"71","CFPE2","280_28_3",4,288,28,"T90","F","PSTR","E","300","28","PE_F",10.804,0.602,"host",0.600445529,1.38427223605075,1.05329270690149,1.70213076199881
"72","CFPE42","2800_28_1",10,3285,28,"T90","F","PSTR","E","3300","28","PE_F",9.626,0.675,"host",1.024710916,1.23812041003006,0.906562577239797,1.58378986431827
"73","CFPE6","700_28_3",8,673,28,"T90","F","PSTR","E","680","28","PE_F",10.186,0.785,"host",0.717510573,1.31408427477929,0.939828456223978,1.68176627662769
"74","CFPE8","2800_28_3",10,3285,28,"T90","F","PSTR","E","3300","28","PE_F",11.411,0.745,"host",0.649471816,1.23812041003006,0.906562577239797,1.58378986431827
"75","CFPF1","280_31_3",4,311,31,"T90","F","PSTR","F","300","31","PF_F",10.667,0.75,"host",0.795689942,0.706683708417214,0.345155679835442,1.08654406286062
"76","CFPF2","280_28_3",4,288,28,"T90","F","PSTR","F","300","28","PF_F",11.07,0.497,"host",0.712580124,1.38427223605075,1.05329270690149,1.70213076199881
"77","CFPF6","700_28_3",8,673,28,"T90","F","PSTR","F","680","28","PF_F",11.765,0.637,"host",0.539434005,1.31408427477929,0.939828456223978,1.68176627662769
"78","CFPF7","2800_31_3",10,3309,31,"T90","F","PSTR","F","3300","31","PF_F",12.335,1.5,"host",0.408248179,0.560531882396519,0.177523112961357,0.92428693508101
"79","CFPF8","2800_28_3",10,3285,28,"T90","F","PSTR","F","3300","28","PF_F",15.117,0.695,"host",1.1269796,1.23812041003006,0.906562577239797,1.58378986431827
"80","CFSA1","280_31_1",4,311,31,"T90","F","SSID","A","300","31","SA_F",10.283,2.237,"host",2.346878436,1.63125286502368,1.19667334610022,2.0749252225885
"81","CFSA10","2800_28_1",10,3285,28,"T90","F","SSID","A","3300","28","SA_F",6.446,0.853,"host",1.439496159,1.74760493019587,1.39459817515538,2.09717192542209
"82","CFSA14","280_28_1",4,288,28,"T90","F","SSID","A","300","28","SA_F",4.661,1.18,"host",1.595817722,2.02530065666702,1.60978200211494,2.44694168177741
"83","CFSA2","400_28_1",6,447,28,"T90","F","SSID","A","420","28","SA_F",8.3,0.783,"host",1.134911627,2.32867099462081,1.95028930710263,2.71698148739961
"84","CFSA3","400_31_1",6,405,31,"T90","F","SSID","A","420","31","SA_F",10.181,0.786,"host",1.872630301,1.93462320297747,1.54945713540544,2.31818755225068
"85","CFSA5","700_31_1",8,701,31,"T90","F","SSID","A","680","31","SA_F",8.918,0.617,"host",1.435145033,1.79829061281224,1.46910633819507,2.1331822566192
"86","CFSA6","700_28_1",8,673,28,"T90","F","SSID","A","680","28","SA_F",9.068,0.882,"host",2.666339874,2.19233840445558,1.85659901399512,2.51664761112764
