"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"sum_bw5",-125.9,-171.197843757853,-213.230936051104,-131.711888649408
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"sum_bw5",-266.4,-326.748129500832,-360.661320294051,-294.011083564797
"3","CFAA2","280_28_1","288_28",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"sum_bw5",-349.5,-262.042873917226,-298.305009074619,-227.011841015007
"4","CFAA6","700_28_1","673_28",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"sum_bw5",-431.4,-421.660067354236,-457.748167530364,-384.126477971882
"5","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"sum_bw5",-362.1,-380.224851999937,-415.93747078119,-344.031376288038
"6","CFAB11","700_28_1","673_28",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"sum_bw5",-273.6,-421.660067354236,-457.748167530364,-384.126477971882
"7","CFAB18","400_28_1","447_28",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"sum_bw5",-314.2,-326.748129500832,-360.661320294051,-294.011083564797
"8","CFAB2","280_28_1","288_28",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"sum_bw5",-214.4,-262.042873917226,-298.305009074619,-227.011841015007
"9","CFAB3","400_31_1","405_31",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"sum_bw5",-192.3,-235.903099341459,-274.730222272557,-196.565444455367
"10","CFAB5","700_31_1","701_31",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"sum_bw5",-407.8,-330.815037194863,-367.961285867224,-294.712126729175
"11","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"sum_bw5",-437.8,-380.224851999937,-415.93747078119,-344.031376288038
