"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"pro",0.45,"311_31",0.189162231169055,0.0870967950749524,0.284199141395211
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"pro",0.197,"447_28",0.21054957991148,0.128583872026074,0.290665457834502
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"pro",0.116,"288_28",0.236621768815795,0.148817652036802,0.322419423280755
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"pro",0.234,"673_28",0.155243965134345,0.0671281641991778,0.246422714536698
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"pro",0.351,"3285_28",0.107990434751134,0.0202589985109863,0.196768110763657
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"pro",0.095,"673_28",0.155243965134345,0.0671281641991778,0.246422714536698
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"pro",0.233,"447_28",0.21054957991148,0.128583872026074,0.290665457834502
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"pro",0.561,"288_28",0.236621768815795,0.148817652036802,0.322419423280755
"9","CFAB3","400_31_1","6.5",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"pro",0.043,"405_31",0.16309004226474,0.0695158074756499,0.26081667675721
"10","CFAB5","700_31_1","8.5",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"pro",0.12,"701_31",0.107784427487604,0.0170955788731225,0.194747274388586
"11","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"pro",0.13,"3285_28",0.107990434751134,0.0202589985109863,0.196768110763657
"12","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"pro",0.17,"311_31",0.189162231169055,0.0870967950749524,0.284199141395211
"13","CFAC12","400_28_2","6",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"pro",0.089,"447_28",0.21054957991148,0.128583872026074,0.290665457834502
"14","CFAC2","280_28_2","4",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"pro",0.161,"288_28",0.236621768815795,0.148817652036802,0.322419423280755
"15","CFAC3","400_31_2","6.5",405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"pro",0.07,"405_31",0.16309004226474,0.0695158074756499,0.26081667675721
"16","CFAC5","700_31_2","8.5",701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"pro",0.025,"701_31",0.107784427487604,0.0170955788731225,0.194747274388586
"17","CFAC6","700_28_2","8",673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"pro",0.122,"673_28",0.155243965134345,0.0671281641991778,0.246422714536698
"18","CFAC8","2800_28_2","10",3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"pro",0.09,"3285_28",0.107990434751134,0.0202589985109863,0.196768110763657
"19","CFAD12","400_28_2","6",447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"pro",0.275,"447_28",0.21054957991148,0.128583872026074,0.290665457834502
"20","CFAD2","280_28_2","4",288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"pro",0.173,"288_28",0.236621768815795,0.148817652036802,0.322419423280755
"21","CFAD5","700_31_2","8.5",701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"pro",0.072,"701_31",0.107784427487604,0.0170955788731225,0.194747274388586
"22","CFAD6","700_28_2","8",673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"pro",0.109,"673_28",0.155243965134345,0.0671281641991778,0.246422714536698
"23","CFAD8","2800_28_2","10",3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"pro",0.258,"3285_28",0.107990434751134,0.0202589985109863,0.196768110763657
"24","CFAD9","400_28_3","6",447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"pro",0.164,"447_28",0.21054957991148,0.128583872026074,0.290665457834502
"25","CFAE10","280_31_3","4.5",311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"pro",0.07,"311_31",0.189162231169055,0.0870967950749524,0.284199141395211
"26","CFAE15","280_28_3","4",288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"pro",0.093,"288_28",0.236621768815795,0.148817652036802,0.322419423280755
"27","CFAE8","2800_28_3","10",3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"pro",0.033,"3285_28",0.107990434751134,0.0202589985109863,0.196768110763657
"28","CFAF2","280_28_3","4",288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"pro",0.102,"288_28",0.236621768815795,0.148817652036802,0.322419423280755
"29","CFAF3","400_31_3","6.5",405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"pro",0.087,"405_31",0.16309004226474,0.0695158074756499,0.26081667675721
"30","CFAF5","700_31_3","8.5",701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"pro",0.09,"701_31",0.107784427487604,0.0170955788731225,0.194747274388586
"31","CFAF6","700_28_3","8",673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"pro",0.132,"673_28",0.155243965134345,0.0671281641991778,0.246422714536698
"32","CFAF8","2800_28_3","10",3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"pro",0.086,"3285_28",0.107990434751134,0.0202589985109863,0.196768110763657
"33","CFAF9","400_28_3","6",447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"pro",0.045,"447_28",0.21054957991148,0.128583872026074,0.290665457834502
"34","CFPA1","280_31_1","4.5",311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"pro",0.293,"311_31",0.3179516088098,0.232349785862873,0.40067237352119
"35","CFPA10","2800_28_2","10",3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"pro",0.548,"3285_28",0.417544485922508,0.344725857740397,0.493960203320356
"36","CFPA11","400_31_2","6.5",405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"pro",0.128,"405_31",0.176189352345746,0.0608567801457908,0.288575231939607
"37","CFPA12","280_31_2","4.5",311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"pro",0.088,"311_31",0.3179516088098,0.232349785862873,0.40067237352119
"38","CFPA2","280_28_1","4",288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"pro",0.5,"288_28",0.561860910972216,0.487204526365343,0.635837093773128
"39","CFPA20","700_31_2","8.5",701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"pro",0.332,"701_31",0.209364978603794,0.119573814858652,0.296448489231018
"40","CFPA21","280_28_2","4",288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"pro",0.846,"288_28",0.561860910972216,0.487204526365343,0.635837093773128
"41","CFPA22","2800_31_2","10.5",3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"pro",0.112,"3309_31",0.173635183760091,0.0840721949935906,0.258798312170217
"42","CFPA3","400_31_1","6.5",405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"pro",0.258,"405_31",0.176189352345746,0.0608567801457908,0.288575231939607
"43","CFPA6","700_28_1","8",673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"pro",0.99,"673_28",0.453274280766211,0.374060926147435,0.53170397765756
"44","CFPA7","2800_31_1","10.5",3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"pro",0.137,"3309_31",0.173635183760091,0.0840721949935906,0.258798312170217
"45","CFPA8","2800_28_1","10",3285,28,"T90","F","PSTR","A","2800","28","PA_F",7.292,"pro",0.206,"3285_28",0.417544485922508,0.344725857740397,0.493960203320356
