"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4.5,311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"311_31","pro",0.45,0.189857844003945,0.0849251287615396,0.283836094849029
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"447_28","pro",0.197,0.209798645858609,0.12370887085611,0.2956421714226
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"288_28","pro",0.116,0.237407593501559,0.151534232488526,0.324113396329564
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"673_28","pro",0.234,0.156314692011086,0.0644024827323574,0.243062831517557
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"3285_28","pro",0.351,0.108661981102867,0.0202860275638519,0.192970806356381
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"673_28","pro",0.095,0.156314692011086,0.0644024827323574,0.243062831517557
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"447_28","pro",0.233,0.209798645858609,0.12370887085611,0.2956421714226
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"288_28","pro",0.561,0.237407593501559,0.151534232488526,0.324113396329564
"9","CFAB3","400_31_1",6.5,405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"405_31","pro",0.043,0.162248896360995,0.0686591339670242,0.251624323692499
"10","CFAB5","700_31_1",8.5,701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"701_31","pro",0.12,0.108764942513473,0.0144198679716311,0.199279725864261
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"3285_28","pro",0.13,0.108661981102867,0.0202860275638519,0.192970806356381
"12","CFAC1","280_31_2",4.5,311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"311_31","pro",0.17,0.189857844003945,0.0849251287615396,0.283836094849029
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"447_28","pro",0.089,0.209798645858609,0.12370887085611,0.2956421714226
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"288_28","pro",0.161,0.237407593501559,0.151534232488526,0.324113396329564
"15","CFAC3","400_31_2",6.5,405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"405_31","pro",0.07,0.162248896360995,0.0686591339670242,0.251624323692499
"16","CFAC5","700_31_2",8.5,701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"701_31","pro",0.025,0.108764942513473,0.0144198679716311,0.199279725864261
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"673_28","pro",0.122,0.156314692011086,0.0644024827323574,0.243062831517557
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"3285_28","pro",0.09,0.108661981102867,0.0202860275638519,0.192970806356381
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"447_28","pro",0.275,0.209798645858609,0.12370887085611,0.2956421714226
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"288_28","pro",0.173,0.237407593501559,0.151534232488526,0.324113396329564
"21","CFAD5","700_31_2",8.5,701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"701_31","pro",0.072,0.108764942513473,0.0144198679716311,0.199279725864261
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"673_28","pro",0.109,0.156314692011086,0.0644024827323574,0.243062831517557
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"3285_28","pro",0.258,0.108661981102867,0.0202860275638519,0.192970806356381
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"447_28","pro",0.164,0.209798645858609,0.12370887085611,0.2956421714226
"25","CFAE10","280_31_3",4.5,311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"311_31","pro",0.07,0.189857844003945,0.0849251287615396,0.283836094849029
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"288_28","pro",0.093,0.237407593501559,0.151534232488526,0.324113396329564
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"3285_28","pro",0.033,0.108661981102867,0.0202860275638519,0.192970806356381
"28","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"288_28","pro",0.102,0.237407593501559,0.151534232488526,0.324113396329564
"29","CFAF3","400_31_3",6.5,405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"405_31","pro",0.087,0.162248896360995,0.0686591339670242,0.251624323692499
"30","CFAF5","700_31_3",8.5,701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"701_31","pro",0.09,0.108764942513473,0.0144198679716311,0.199279725864261
"31","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"673_28","pro",0.132,0.156314692011086,0.0644024827323574,0.243062831517557
"32","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"3285_28","pro",0.086,0.108661981102867,0.0202860275638519,0.192970806356381
"33","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"447_28","pro",0.045,0.209798645858609,0.12370887085611,0.2956421714226
"34","CFPA1","280_31_1",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"311_31","pro",0.293,0.316045062770098,0.232921682592967,0.400526413700206
"35","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"3285_28","pro",0.548,0.417977831797373,0.344849060544827,0.490398329487942
"36","CFPA11","400_31_2",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"405_31","pro",0.128,0.178361181556804,0.0704006847847726,0.289772481327181
"37","CFPA12","280_31_2",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"311_31","pro",0.088,0.316045062770098,0.232921682592967,0.400526413700206
"38","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"288_28","pro",0.5,0.561443829508657,0.488554921459081,0.634054848191937
"39","CFPA20","700_31_2",8.5,701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"701_31","pro",0.332,0.208282251715188,0.112484878838622,0.301249701670294
"40","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"288_28","pro",0.846,0.561443829508657,0.488554921459081,0.634054848191937
"41","CFPA22","2800_31_2",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"3309_31","pro",0.112,0.172579065058813,0.0840608124241676,0.255572623741989
"42","CFPA3","400_31_1",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"405_31","pro",0.258,0.178361181556804,0.0704006847847726,0.289772481327181
"43","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"673_28","pro",0.99,0.453681018453747,0.375421501131769,0.533084919583019
"44","CFPA7","2800_31_1",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"3309_31","pro",0.137,0.172579065058813,0.0840608124241676,0.255572623741989
"45","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","2800","28","PA_F",7.292,"3285_28","pro",0.206,0.417977831797373,0.344849060544827,0.490398329487942
"46","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","700","28","PA_F",14.665,"673_28","pro",1.009,0.453681018453747,0.375421501131769,0.533084919583019
"47","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","400","28","PB_F",7.942,"447_28","pro",0.291,0.423759948295364,0.314140849081141,0.532401211638325
"48","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","2800","28","PB_F",9.46,"3285_28","pro",0.401,0.417977831797373,0.344849060544827,0.490398329487942
"49","CFPB2","280_28_1",4,288,28,"T90","F","PSTR","B","280","28","PB_F",10.94,"288_28","pro",0.788,0.561443829508657,0.488554921459081,0.634054848191937
"50","CFPB3","400_31_1",6.5,405,31,"T90","F","PSTR","B","400","31","PB_F",12.899,"405_31","pro",0.323,0.178361181556804,0.0704006847847726,0.289772481327181
"51","CFPB5","700_31_1",8.5,701,31,"T90","F","PSTR","B","700","31","PB_F",9.71,"701_31","pro",0.365,0.208282251715188,0.112484878838622,0.301249701670294
"52","CFPB6","700_28_1",8,673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"673_28","pro",1.069,0.453681018453747,0.375421501131769,0.533084919583019
"53","CFPB7","2800_31_1",10.5,3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"3309_31","pro",0.124,0.172579065058813,0.0840608124241676,0.255572623741989
"54","CFPB9","280_31_1",4.5,311,31,"T90","F","PSTR","B","280","31","PB_F",9.076,"311_31","pro",0.138,0.316045062770098,0.232921682592967,0.400526413700206
"55","CFPC10","400_28_2",6,447,28,"T90","F","PSTR","C","400","28","PC_F",10.171,"447_28","pro",0.066,0.423759948295364,0.314140849081141,0.532401211638325
"56","CFPC11","280_28_2",4,288,28,"T90","F","PSTR","C","280","28","PC_F",12.342,"288_28","pro",0.832,0.561443829508657,0.488554921459081,0.634054848191937
"57","CFPC12","700_31_2",8.5,701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"701_31","pro",0.259,0.208282251715188,0.112484878838622,0.301249701670294
"58","CFPC2","280_28_2",4,288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"288_28","pro",0.724,0.561443829508657,0.488554921459081,0.634054848191937
"59","CFPC6","700_28_2",8,673,28,"T90","F","PSTR","C","700","28","PC_F",11.821,"673_28","pro",0.247,0.453681018453747,0.375421501131769,0.533084919583019
