"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA15","400_28",2,447,28,"T0","F","PAST","A",NA,"28","AA_F",12.00066667,"T0","chla",1.198,42.2801151111885,21.0131256752996,63.7992825661518
"2","CFAB19","400_28",2,447,28,"T0","F","PAST","B",NA,"28","AB_F",11.39933333,"T0","chla",69.379,42.2801151111885,21.0131256752996,63.7992825661518
"3","CFAC15","400_28",2,447,28,"T0","F","PAST","C",NA,"28","AC_F",10.686,"T0","chla",44.57,42.2801151111885,21.0131256752996,63.7992825661518
"4","CFAD11","400_28",2,447,28,"T0","F","PAST","D",NA,"28","AD_F",10.54933333,"T0","chla",99.405,42.2801151111885,21.0131256752996,63.7992825661518
"5","CFAD11","400_28",2,447,28,"T0","F","PAST","D",NA,"28","AD_F",10.54933333,"T0","chla",99.405,42.2801151111885,21.0131256752996,63.7992825661518
"6","CFAE9","400_28",2,447,28,"T0","F","PAST","E",NA,"28","AE_F",14.14233333,"T0","chla",34.099,42.2801151111885,21.0131256752996,63.7992825661518
"7","CFAE9","400_28",2,447,28,"T0","F","PAST","E",NA,"28","AE_F",14.14233333,"T0","chla",34.099,42.2801151111885,21.0131256752996,63.7992825661518
"8","CFAF11","400_28",2,447,28,"T0","F","PAST","F",NA,"28","AF_F",6.160666667,"T0","chla",19.384,42.2801151111885,21.0131256752996,63.7992825661518
"9","CFPB8","400_28",2,447,28,"T0","F","PSTR","B",NA,"28","PB_F",7.280333333,"T0","chla",68.647,51.7193139963897,23.6190424543582,80.4530503611098
"10","CFPE13","400_28",2,447,28,"T0","F","PSTR","E",NA,"28","PE_F",8.785333333,"T0","chla",6.886,51.7193139963897,23.6190424543582,80.4530503611098
"11","CFSA9","400_28",2,447,28,"T0","F","SSID","A",NA,"28","SA_F",8.170666667,"T0","chla",21.623,44.8512582219882,20.144589845236,70.6551520496802
"12","CFSB9","400_28",2,447,28,"T0","F","SSID","B",NA,"28","SB_F",11.544,"T0","chla",51.496,44.8512582219882,20.144589845236,70.6551520496802
"13","CFSC11","400_28",2,447,28,"T0","F","SSID","C",NA,"28","SC_F",9.465666667,"T0","chla",11.301,44.8512582219882,20.144589845236,70.6551520496802
"14","CFSD12","400_28",2,447,28,"T0","F","SSID","D",NA,"28","SD_F",9.394333333,"T0","chla",46.666,44.8512582219882,20.144589845236,70.6551520496802
"15","CFSE9","400_28",2,447,28,"T0","F","SSID","E",NA,"28","SE_F",9.466666667,"T0","chla",26.674,44.8512582219882,20.144589845236,70.6551520496802
"16","CFTA11","400_28",2,447,28,"T0","F","UTEN","A",NA,"28","TA_F",11.28675,"T0","chla",9.229,72.0753815247961,48.0516566666265,95.8970893359781
"17","CFTB10","400_28",2,447,28,"T0","F","UTEN","B",NA,"28","TB_F",14.39275,"T0","chla",93.451,72.0753815247961,48.0516566666265,95.8970893359781
"18","CFTC8","400_28",2,447,28,"T0","F","UTEN","C",NA,"28","TC_F",11.2615,"T0","chla",21.645,72.0753815247961,48.0516566666265,95.8970893359781
"19","CFTD12","400_28",2,447,28,"T0","F","UTEN","D",NA,"28","TD_F",5.153333333,"T0","chla",33.348,72.0753815247961,48.0516566666265,95.8970893359781
"20","CFTF15","400_28",2,447,28,"T0","F","UTEN","F",NA,"28","TF_F",21.89933333,"T0","chla",38.116,72.0753815247961,48.0516566666265,95.8970893359781
"21","CNAA13","400_28",2,447,28,"T0","N","PAST","A",NA,"28","AA_N",7.16,"T0","chla",15.124,42.2801151111885,21.0131256752996,63.7992825661518
"22","CNAB9","400_28",2,447,28,"T0","N","PAST","B",NA,"28","AB_N",9.5,"T0","chla",55.377,42.2801151111885,21.0131256752996,63.7992825661518
"23","CNAC9","400_28",2,447,28,"T0","N","PAST","C",NA,"28","AC_N",9.716333333,"T0","chla",79.411,42.2801151111885,21.0131256752996,63.7992825661518
"24","CNAD12","400_28",2,447,28,"T0","N","PAST","D",NA,"28","AD_N",10.35566667,"T0","chla",3.454,42.2801151111885,21.0131256752996,63.7992825661518
"25","CNAE9","400_28",2,447,28,"T0","N","PAST","E",NA,"28","AE_N",9.664,"T0","chla",17.238,42.2801151111885,21.0131256752996,63.7992825661518
"26","CNAF9","400_28",2,447,28,"T0","N","PAST","F",NA,"28","AF_N",10.11366667,"T0","chla",41.787,42.2801151111885,21.0131256752996,63.7992825661518
"27","CNPA9","400_28",2,447,28,"T0","N","PSTR","A",NA,"28","PA_N",10.44766667,"T0","chla",9.148,51.7193139963897,23.6190424543582,80.4530503611098
"28","CNPB9","400_28",2,447,28,"T0","N","PSTR","B",NA,"28","PB_N",11.17033333,"T0","chla",5.652,51.7193139963897,23.6190424543582,80.4530503611098
"29","CNPC10","400_28",2,447,28,"T0","N","PSTR","C",NA,"28","PC_N",10.55266667,"T0","chla",9.14,51.7193139963897,23.6190424543582,80.4530503611098
"30","CNPD9","400_28",2,447,28,"T0","N","PSTR","D",NA,"28","PD_N",7.814333333,"T0","chla",81.236,51.7193139963897,23.6190424543582,80.4530503611098
"31","CNPE10","400_28",2,447,28,"T0","N","PSTR","E",NA,"28","PE_N",10.709,"T0","chla",119.128,51.7193139963897,23.6190424543582,80.4530503611098
"32","CNPF15","400_28",2,447,28,"T0","N","PSTR","F",NA,"28","PF_N",9.076,"T0","chla",117.86,51.7193139963897,23.6190424543582,80.4530503611098
