"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA15","400_28",2,447,28,"T0","F","PAST","A",NA,"28","AA_F",12.00066667,"den",1.487617355,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"2","CFAB19","400_28",2,447,28,"T0","F","PAST","B",NA,"28","AB_F",11.39933333,"den",2.148283525,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"3","CFAC15","400_28",2,447,28,"T0","F","PAST","C",NA,"28","AC_F",10.686,"den",2.708590679,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"4","CFAD11","400_28",2,447,28,"T0","F","PAST","D",NA,"28","AD_F",10.54933333,"den",2.022497472,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"5","CFAD11","400_28",2,447,28,"T0","F","PAST","D",NA,"28","AD_F",10.54933333,"den",2.022497472,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"6","CFAE9","400_28",2,447,28,"T0","F","PAST","E",NA,"28","AE_F",14.14233333,"den",0.5513941594,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"7","CFAE9","400_28",2,447,28,"T0","F","PAST","E",NA,"28","AE_F",14.14233333,"den",0.5513941594,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"8","CFAF11","400_28",2,447,28,"T0","F","PAST","F",NA,"28","AF_F",6.160666667,"den",1.702846012,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"9","CFPB8","400_28",2,447,28,"T0","F","PSTR","B",NA,"28","PB_F",7.280333333,"den",1.31532439,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"10","CFPE13","400_28",2,447,28,"T0","F","PSTR","E",NA,"28","PE_F",8.785333333,"den",1.193261496,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"11","CFSA9","400_28",2,447,28,"T0","F","SSID","A",NA,"28","SA_F",8.170666667,"den",1.3125,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"12","CFSB9","400_28",2,447,28,"T0","F","SSID","B",NA,"28","SB_F",11.544,"den",1.426130457,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"13","CFSC11","400_28",2,447,28,"T0","F","SSID","C",NA,"28","SC_F",9.465666667,"den",2.419762651,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"14","CFSD12","400_28",2,447,28,"T0","F","SSID","D",NA,"28","SD_F",9.394333333,"den",2.264769542,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"15","CFSE9","400_28",2,447,28,"T0","F","SSID","E",NA,"28","SE_F",9.466666667,"den",1.325070423,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"16","CFTA11","400_28",2,447,28,"T0","F","UTEN","A",NA,"28","TA_F",11.28675,"den",1.687926108,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"17","CFTB10","400_28",2,447,28,"T0","F","UTEN","B",NA,"28","TB_F",14.39275,"den",0.2178874781,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"18","CFTC8","400_28",2,447,28,"T0","F","UTEN","C",NA,"28","TC_F",11.2615,"den",1.261821249,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"19","CFTD12","400_28",2,447,28,"T0","F","UTEN","D",NA,"28","TD_F",5.153333333,"den",0.3151358344,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"20","CFTF15","400_28",2,447,28,"T0","F","UTEN","F",NA,"28","TF_F",21.89933333,"den",0.5304271058,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"21","CNAA13","400_28",2,447,28,"T0","N","PAST","A",NA,"28","AA_N",7.16,"den",1.942981844,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"22","CNAB9","400_28",2,447,28,"T0","N","PAST","B",NA,"28","AB_N",9.5,"den",1.485473684,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"23","CNAC9","400_28",2,447,28,"T0","N","PAST","C",NA,"28","AC_N",9.716333333,"den",1.35874301,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"24","CNAD12","400_28",2,447,28,"T0","N","PAST","D",NA,"28","AD_N",10.35566667,"den",0.8562139891,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"25","CNAE9","400_28",2,447,28,"T0","N","PAST","E",NA,"28","AE_N",9.664,"den",1.705660182,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"26","CNAF9","400_28",2,447,28,"T0","N","PAST","F",NA,"28","AF_N",10.11366667,"den",2.440460103,"T0",4.62354280626602,-5.03294885527065,14.6284830264496
"27","CNPA9","400_28",2,447,28,"T0","N","PSTR","A",NA,"28","PA_N",10.44766667,"den",0.1648214912,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"28","CNPB9","400_28",2,447,28,"T0","N","PSTR","B",NA,"28","PB_N",11.17033333,"den",2.453373519,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"29","CNPC10","400_28",2,447,28,"T0","N","PSTR","C",NA,"28","PC_N",10.55266667,"den",3.215869606,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"30","CNPD9","400_28",2,447,28,"T0","N","PSTR","D",NA,"28","PD_N",7.814333333,"den",2.357718722,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"31","CNPE10","400_28",2,447,28,"T0","N","PSTR","E",NA,"28","PE_N",10.709,"den",1.908612693,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"32","CNPF15","400_28",2,447,28,"T0","N","PSTR","F",NA,"28","PF_N",9.076,"den",2.39400617,"T0",3.61879016161371,-13.5966752264668,23.4717774835894
"33","CNSB15","400_28",2,447,28,"T0","N","SSID","B",NA,"28","SB_N",10.22766667,"den",2.233451749,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"34","CNSC9","400_28",2,447,28,"T0","N","SSID","C",NA,"28","SC_N",11.61133333,"den",2.238502612,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"35","CNSD10","400_28",2,447,28,"T0","N","SSID","D",NA,"28","SD_N",11.04566667,"den",2.453601714,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"36","CNSE9","400_28",2,447,28,"T0","N","SSID","E",NA,"28","SE_N",10.54866667,"den",2.17790558,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"37","CNSF22","400_28",2,447,28,"T0","N","SSID","F",NA,"28","SF_N",10.542,"den",2.523809524,"T0",1.31520473459827,-14.1687978798425,18.6207767813377
"38","CNTA7","400_28",2,447,28,"T0","N","UTEN","A",NA,"28","TA_N",5.42975,"den",1.34591832,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"39","CNTB15","400_28",2,447,28,"T0","N","UTEN","B",NA,"28","TB_N",12.9025,"den",1.074644449,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"40","CNTC18","400_28",2,447,28,"T0","N","UTEN","C",NA,"28","TC_N",15.51916667,"den",1.117173388,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"41","CNTD9","400_28",2,447,28,"T0","N","UTEN","D",NA,"28","TD_N",6.285,"den",0.8536197295,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"42","CNTE17","400_28",2,447,28,"T0","N","UTEN","E",NA,"28","TE_N",14.0745,"den",2.340544957,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"43","CNTF11","400_28",2,447,28,"T0","N","UTEN","F",NA,"28","TF_N",7.42675,"den",3.433354653,"T0",-1.25590253293285,-15.2664158816167,8.83218380210172
"44","CFAA15","400_28",2,447,28,"T0","F","PAST","A",NA,"28","AA_F",12.00066667,"pro",0.266,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"45","CFAB19","400_28",2,447,28,"T0","F","PAST","B",NA,"28","AB_F",11.39933333,"pro",0.175,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"46","CFAC15","400_28",2,447,28,"T0","F","PAST","C",NA,"28","AC_F",10.686,"pro",0.316,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"47","CFAD11","400_28",2,447,28,"T0","F","PAST","D",NA,"28","AD_F",10.54933333,"pro",0.336,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"48","CFAD11","400_28",2,447,28,"T0","F","PAST","D",NA,"28","AD_F",10.54933333,"pro",0.336,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"49","CFAE9","400_28",2,447,28,"T0","F","PAST","E",NA,"28","AE_F",14.14233333,"pro",0.292,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"50","CFAE9","400_28",2,447,28,"T0","F","PAST","E",NA,"28","AE_F",14.14233333,"pro",0.292,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"51","CFAF11","400_28",2,447,28,"T0","F","PAST","F",NA,"28","AF_F",6.160666667,"pro",0.365,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
"52","CFPB8","400_28",2,447,28,"T0","F","PSTR","B",NA,"28","PB_F",7.280333333,"pro",0.137,"T0",-1.94538862293042,-24.9751528727464,12.5352708441084
"53","CFPE13","400_28",2,447,28,"T0","F","PSTR","E",NA,"28","PE_F",8.785333333,"pro",0.389,"T0",-1.94538862293042,-24.9751528727464,12.5352708441084
"54","CFSA9","400_28",2,447,28,"T0","F","SSID","A",NA,"28","SA_F",8.170666667,"pro",0.398,"T0",1.18373322321089,-18.1018922877024,14.62350642195
"55","CFSB9","400_28",2,447,28,"T0","F","SSID","B",NA,"28","SB_F",11.544,"pro",0.525,"T0",1.18373322321089,-18.1018922877024,14.62350642195
"56","CFSC11","400_28",2,447,28,"T0","F","SSID","C",NA,"28","SC_F",9.465666667,"pro",0.669,"T0",1.18373322321089,-18.1018922877024,14.62350642195
"57","CFSD12","400_28",2,447,28,"T0","F","SSID","D",NA,"28","SD_F",9.394333333,"pro",0.472,"T0",1.18373322321089,-18.1018922877024,14.62350642195
"58","CFSE9","400_28",2,447,28,"T0","F","SSID","E",NA,"28","SE_F",9.466666667,"pro",0.335,"T0",1.18373322321089,-18.1018922877024,14.62350642195
"59","CFTA11","400_28",2,447,28,"T0","F","UTEN","A",NA,"28","TA_F",11.28675,"pro",0.399,"T0",-1.85476271250448,-16.3083204949244,14.643278549265
"60","CFTB10","400_28",2,447,28,"T0","F","UTEN","B",NA,"28","TB_F",14.39275,"pro",0.289,"T0",-1.85476271250448,-16.3083204949244,14.643278549265
"61","CFTC8","400_28",2,447,28,"T0","F","UTEN","C",NA,"28","TC_F",11.2615,"pro",0.196,"T0",-1.85476271250448,-16.3083204949244,14.643278549265
"62","CFTD12","400_28",2,447,28,"T0","F","UTEN","D",NA,"28","TD_F",5.153333333,"pro",0.105,"T0",-1.85476271250448,-16.3083204949244,14.643278549265
"63","CFTF15","400_28",2,447,28,"T0","F","UTEN","F",NA,"28","TF_F",21.89933333,"pro",0.237,"T0",-1.85476271250448,-16.3083204949244,14.643278549265
"64","CNAA13","400_28",2,447,28,"T0","N","PAST","A",NA,"28","AA_N",7.16,"pro",0.358,"T0",-1.64909800587483,-14.441531310924,8.8866849641893
