"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"chla",217.808,"311_31",142.44607424643,109.720862459913,172.867238048023
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"chla",110.249,"447_28",46.0423882984304,19.6232529376234,71.7174311761361
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"chla",21.946,"288_28",104.215936563824,75.9603698922012,131.347315291952
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"chla",15.681,"673_28",44.9547336107901,16.8185911142461,74.2358400659965
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"chla",70.777,"3285_28",17.1339426630662,-10.8231000572511,45.6034840325814
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"chla",29.419,"673_28",44.9547336107901,16.8185911142461,74.2358400659965
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"chla",62.217,"447_28",46.0423882984304,19.6232529376234,71.7174311761361
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"chla",114.412,"288_28",104.215936563824,75.9603698922012,131.347315291952
"9","CFAB3","400_31_1","6.5",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"chla",35.844,"405_31",84.2725259810361,53.9099697677423,116.00717313333
"10","CFAB5","700_31_1","8.5",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"chla",97.157,"701_31",83.1848712933958,54.0525619854603,111.303771607486
"11","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"chla",28.351,"3285_28",17.1339426630662,-10.8231000572511,45.6034840325814
"12","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"chla",141.125,"311_31",142.44607424643,109.720862459913,172.867238048023
"13","CFAC12","400_28_2","6",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"chla",76.26,"447_28",46.0423882984304,19.6232529376234,71.7174311761361
"14","CFAC2","280_28_2","4",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"chla",93.196,"288_28",104.215936563824,75.9603698922012,131.347315291952
"15","CFAC3","400_31_2","6.5",405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"chla",47.44,"405_31",84.2725259810361,53.9099697677423,116.00717313333
"16","CFAC5","700_31_2","8.5",701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"chla",77.802,"701_31",83.1848712933958,54.0525619854603,111.303771607486
"17","CFAC6","700_28_2","8",673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"chla",26.419,"673_28",44.9547336107901,16.8185911142461,74.2358400659965
"18","CFAC8","2800_28_2","10",3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"chla",20.737,"3285_28",17.1339426630662,-10.8231000572511,45.6034840325814
"19","CFAD12","400_28_2","6",447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"chla",120.172,"447_28",46.0423882984304,19.6232529376234,71.7174311761361
"20","CFAD2","280_28_2","4",288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"chla",50.097,"288_28",104.215936563824,75.9603698922012,131.347315291952
"21","CFAD5","700_31_2","8.5",701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"chla",153.354,"701_31",83.1848712933958,54.0525619854603,111.303771607486
"22","CFAD6","700_28_2","8",673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"chla",26.367,"673_28",44.9547336107901,16.8185911142461,74.2358400659965
"23","CFAD8","2800_28_2","10",3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"chla",21.158,"3285_28",17.1339426630662,-10.8231000572511,45.6034840325814
"24","CFAD9","400_28_3","6",447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"chla",80.502,"447_28",46.0423882984304,19.6232529376234,71.7174311761361
"25","CFAE10","280_31_3","4.5",311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"chla",188.735,"311_31",142.44607424643,109.720862459913,172.867238048023
