"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4.5,311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"311_31","chla",217.808,142.677714442481,108.905181150943,173.14457862557
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"447_28","chla",110.249,45.8041438354326,17.8647821727393,73.3814412831448
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"288_28","chla",21.946,104.479598834648,77.164523885944,132.056617556496
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"673_28","chla",15.681,45.272971609252,15.8396293296081,73.5293227564349
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"3285_28","chla",70.777,17.341164430577,-10.9915901088168,44.1531262356552
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"673_28","chla",29.419,45.272971609252,15.8396293296081,73.5293227564349
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"447_28","chla",62.217,45.8041438354326,17.8647821727393,73.3814412831448
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"288_28","chla",114.412,104.479598834648,77.164523885944,132.056617556496
"9","CFAB3","400_31_1",6.5,405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"405_31","chla",35.844,84.0022594432659,53.7454141843865,112.287226252591
"10","CFAB5","700_31_1",8.5,701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"701_31","chla",97.157,83.4710872170853,53.1255658558448,112.942319035273
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"3285_28","chla",28.351,17.341164430577,-10.9915901088168,44.1531262356552
"12","CFAC1","280_31_2",4.5,311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"311_31","chla",141.125,142.677714442481,108.905181150943,173.14457862557
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"447_28","chla",76.26,45.8041438354326,17.8647821727393,73.3814412831448
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"288_28","chla",93.196,104.479598834648,77.164523885944,132.056617556496
"15","CFAC3","400_31_2",6.5,405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"405_31","chla",47.44,84.0022594432659,53.7454141843865,112.287226252591
"16","CFAC5","700_31_2",8.5,701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"701_31","chla",77.802,83.4710872170853,53.1255658558448,112.942319035273
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"673_28","chla",26.419,45.272971609252,15.8396293296081,73.5293227564349
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"3285_28","chla",20.737,17.341164430577,-10.9915901088168,44.1531262356552
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"447_28","chla",120.172,45.8041438354326,17.8647821727393,73.3814412831448
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"288_28","chla",50.097,104.479598834648,77.164523885944,132.056617556496
"21","CFAD5","700_31_2",8.5,701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"701_31","chla",153.354,83.4710872170853,53.1255658558448,112.942319035273
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"673_28","chla",26.367,45.272971609252,15.8396293296081,73.5293227564349
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"3285_28","chla",21.158,17.341164430577,-10.9915901088168,44.1531262356552
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"447_28","chla",80.502,45.8041438354326,17.8647821727393,73.3814412831448
"25","CFAE10","280_31_3",4.5,311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"311_31","chla",188.735,142.677714442481,108.905181150943,173.14457862557
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"288_28","chla",63.892,104.479598834648,77.164523885944,132.056617556496
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"3285_28","chla",8.417,17.341164430577,-10.9915901088168,44.1531262356552
"28","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"288_28","chla",96.569,104.479598834648,77.164523885944,132.056617556496
"29","CFAF3","400_31_3",6.5,405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"405_31","chla",35.792,84.0022594432659,53.7454141843865,112.287226252591
"30","CFAF5","700_31_3",8.5,701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"701_31","chla",96.989,83.4710872170853,53.1255658558448,112.942319035273
"31","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"673_28","chla",51.663,45.272971609252,15.8396293296081,73.5293227564349
"32","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"3285_28","chla",9.929,17.341164430577,-10.9915901088168,44.1531262356552
"33","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"447_28","chla",29.005,45.8041438354326,17.8647821727393,73.3814412831448
"34","CFPA1","280_31_1",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"311_31","chla",29.623,109.957285680598,83.6498945239907,136.735987793904
"35","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"3285_28","chla",65.144,81.0132936109599,57.0096120596919,104.120562909895
"36","CFPA11","400_31_2",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"405_31","chla",5.5,47.8598715202552,13.4632764115666,84.2004524681207
"37","CFPA12","280_31_2",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"311_31","chla",7.846,109.957285680598,83.6498945239907,136.735987793904
"38","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"288_28","chla",166.62,193.512546933735,169.960542160718,217.265733207937
"39","CFPA20","700_31_2",8.5,701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"701_31","chla",28.552,6.58825393217662,-24.03554600275,35.7799378746065
"40","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"288_28","chla",330.829,193.512546933735,169.960542160718,217.265733207937
"41","CFPA22","2800_31_2",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"3309_31","chla",6.684,-2.54196764217693,-30.868589886639,23.9691027723121
"42","CFPA3","400_31_1",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"405_31","chla",4.747,47.8598715202552,13.4632764115666,84.2004524681207
"43","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"673_28","chla",78.813,90.1435151853135,65.2207216052089,115.417500110948
"44","CFPA7","2800_31_1",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"3309_31","chla",4.141,-2.54196764217693,-30.868589886639,23.9691027723121
"45","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","2800","28","PA_F",7.292,"3285_28","chla",38.96,81.0132936109599,57.0096120596919,104.120562909895
"46","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","700","28","PA_F",14.665,"673_28","chla",124.357,90.1435151853135,65.2207216052089,115.417500110948
"47","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","400","28","PB_F",7.942,"447_28","chla",205.345,131.415132773392,95.8243845432664,166.700468385101
"48","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","2800","28","PB_F",9.46,"3285_28","chla",60.801,81.0132936109599,57.0096120596919,104.120562909895
"49","CFPB2","280_28_1",4,288,28,"T90","F","PSTR","B","280","28","PB_F",10.94,"288_28","chla",192.345,193.512546933735,169.960542160718,217.265733207937
"50","CFPB3","400_31_1",6.5,405,31,"T90","F","PSTR","B","400","31","PB_F",12.899,"405_31","chla",5.424,47.8598715202552,13.4632764115666,84.2004524681207
"51","CFPB5","700_31_1",8.5,701,31,"T90","F","PSTR","B","700","31","PB_F",9.71,"701_31","chla",26.187,6.58825393217662,-24.03554600275,35.7799378746065
"52","CFPB6","700_28_1",8,673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"673_28","chla",221.579,90.1435151853135,65.2207216052089,115.417500110948
"53","CFPB7","2800_31_1",10.5,3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"3309_31","chla",23.009,-2.54196764217693,-30.868589886639,23.9691027723121
"54","CFPB9","280_31_1",4.5,311,31,"T90","F","PSTR","B","280","31","PB_F",9.076,"311_31","chla",173.892,109.957285680598,83.6498945239907,136.735987793904
"55","CFPC10","400_28_2",6,447,28,"T90","F","PSTR","C","400","28","PC_F",10.171,"447_28","chla",38.448,131.415132773392,95.8243845432664,166.700468385101
"56","CFPC11","280_28_2",4,288,28,"T90","F","PSTR","C","280","28","PC_F",12.342,"288_28","chla",207.448,193.512546933735,169.960542160718,217.265733207937
"57","CFPC12","700_31_2",8.5,701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"701_31","chla",19.036,6.58825393217662,-24.03554600275,35.7799378746065
"58","CFPC2","280_28_2",4,288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"288_28","chla",159.677,193.512546933735,169.960542160718,217.265733207937
"59","CFPC6","700_28_2",8,673,28,"T90","F","PSTR","C","700","28","PC_F",11.821,"673_28","chla",19.433,90.1435151853135,65.2207216052089,115.417500110948
"60","CFPC8","2800_28_2",10,3285,28,"T90","F","PSTR","C","2800","28","PC_F",10.075,"3285_28","chla",87.373,81.0132936109599,57.0096120596919,104.120562909895
"61","CFPD1","280_31_2",4.5,311,31,"T90","F","PSTR","D","280","31","PD_F",12.425,"311_31","chla",23.711,109.957285680598,83.6498945239907,136.735987793904
"62","CFPD11","2800_28_2",10,3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.24,"3285_28","chla",77.507,81.0132936109599,57.0096120596919,104.120562909895
"63","CFPD2","280_28_2",4,288,28,"T90","F","PSTR","D","280","28","PD_F",11.427,"288_28","chla",219.443,193.512546933735,169.960542160718,217.265733207937
"64","CFPD5","700_31_2",8.5,701,31,"T90","F","PSTR","D","700","31","PD_F",8.533,"701_31","chla",7.645,6.58825393217662,-24.03554600275,35.7799378746065
"65","CFPD6","400_28_2",6,447,28,"T90","F","PSTR","D","400","28","PD_F",8.239,"447_28","chla",164.945,131.415132773392,95.8243845432664,166.700468385101
"66","CFPD7","2800_31_2",10.5,3309,31,"T90","F","PSTR","D","2800","31","PD_F",11.931,"3309_31","chla",10.083,-2.54196764217693,-30.868589886639,23.9691027723121
"67","CFPD8","2800_28_2",10,3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.965,"3285_28","chla",32.806,81.0132936109599,57.0096120596919,104.120562909895
"68","CFPD9","700_28_2",8,673,28,"T90","F","PSTR","D","700","28","PD_F",7.055,"673_28","chla",19.637,90.1435151853135,65.2207216052089,115.417500110948
"69","CFPE10","280_28_1",4,288,28,"T90","F","PSTR","E","280","28","PE_F",11.543,"288_28","chla",22.028,193.512546933735,169.960542160718,217.265733207937
"70","CFPE12","700_28_2",8,673,28,"T90","F","PSTR","E","700","28","PE_F",13.964,"673_28","chla",14.818,90.1435151853135,65.2207216052089,115.417500110948
"71","CFPE14","280_28_2",4,288,28,"T90","F","PSTR","E","280","28","PE_F",8.052,"288_28","chla",133.943,193.512546933735,169.960542160718,217.265733207937
"72","CFPE2","280_28_3",4,288,28,"T90","F","PSTR","E","280","28","PE_F",10.804,"288_28","chla",28.079,193.512546933735,169.960542160718,217.265733207937
"73","CFPE40","2800_28_1",10,3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.408,"3285_28","chla",35.975,81.0132936109599,57.0096120596919,104.120562909895
"74","CFPE42","2800_28_1",10,3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.626,"3285_28","chla",80.703,81.0132936109599,57.0096120596919,104.120562909895
"75","CFPE6","700_28_3",8,673,28,"T90","F","PSTR","E","700","28","PE_F",10.186,"673_28","chla",50.272,90.1435151853135,65.2207216052089,115.417500110948
"76","CFPE8","2800_28_3",10,3285,28,"T90","F","PSTR","E","2800","28","PE_F",11.411,"3285_28","chla",37.497,81.0132936109599,57.0096120596919,104.120562909895
"77","CFPF1","280_31_3",4.5,311,31,"T90","F","PSTR","F","280","31","PF_F",10.667,"311_31","chla",65.921,109.957285680598,83.6498945239907,136.735987793904
"78","CFPF2","280_28_3",4,288,28,"T90","F","PSTR","F","280","28","PF_F",11.07,"288_28","chla",28.832,193.512546933735,169.960542160718,217.265733207937
"79","CFPF6","700_28_3",8,673,28,"T90","F","PSTR","F","700","28","PF_F",11.765,"673_28","chla",9.643,90.1435151853135,65.2207216052089,115.417500110948
"80","CFPF7","2800_31_3",10.5,3309,31,"T90","F","PSTR","F","2800","31","PF_F",12.335,"3309_31","chla",25.589,-2.54196764217693,-30.868589886639,23.9691027723121
"81","CFPF8","2800_28_3",10,3285,28,"T90","F","PSTR","F","2800","28","PF_F",15.117,"3285_28","chla",46.865,81.0132936109599,57.0096120596919,104.120562909895
"82","CFSA1","280_31_1",4.5,311,31,"T90","F","SSID","A","280","31","SA_F",10.283,"311_31","chla",99.083,95.8527048649152,68.1732370718499,122.691257823088
"83","CFSA10","2800_28_1",10,3285,28,"T90","F","SSID","A","2800","28","SA_F",6.446,"3285_28","chla",53.324,53.8670386477581,30.696319769872,77.8199106111288
"84","CFSA14","280_28_1",4,288,28,"T90","F","SSID","A","280","28","SA_F",4.661,"288_28","chla",80.513,120.804110390499,94.7943626733614,146.986271561028
"85","CFSA2","400_28_1",6,447,28,"T90","F","SSID","A","400","28","SA_F",8.3,"447_28","chla",154.015,130.012391207942,104.868094778361,155.202112957476
"86","CFSA3","400_31_1",6.5,405,31,"T90","F","SSID","A","400","31","SA_F",10.181,"405_31","chla",55.632,105.060985682359,80.31559198392,130.605844306181
"87","CFSA5","700_31_1",8.5,701,31,"T90","F","SSID","A","700","31","SA_F",8.918,"701_31","chla",106.384,69.5978935337795,44.1599394353137,95.1732933532833
"88","CFSA6","700_28_1",8,673,28,"T90","F","SSID","A","700","28","SA_F",9.068,"673_28","chla",59.175,94.5492990593632,68.7298795083055,118.902848032959
"89","CFSA7","2800_31_1",10.5,3309,31,"T90","F","SSID","A","2800","31","SA_F",8.812,"3309_31","chla",16.317,28.9156331221744,4.19904307153126,53.3049793427326
"90","CFSB1","280_31_1",4.5,311,31,"T90","F","SSID","B","280","31","SB_F",12.31,"311_31","chla",137.614,95.8527048649152,68.1732370718499,122.691257823088
"91","CFSB10","400_31_1",6.5,405,31,"T90","F","SSID","B","400","31","SB_F",11.296,"405_31","chla",95.786,105.060985682359,80.31559198392,130.605844306181
"92","CFSB13","400_28_1",6,447,28,"T90","F","SSID","B","400","28","SB_F",12.975,"447_28","chla",148.667,130.012391207942,104.868094778361,155.202112957476
"93","CFSB2","280_28_1",4,288,28,"T90","F","SSID","B","280","28","SB_F",10.805,"288_28","chla",151.102,120.804110390499,94.7943626733614,146.986271561028
