"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4.5,311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"311_31","den",5.524414525,6.39429071761853,5.26027466591945,7.56371249064878
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"447_28","den",7.570308751,6.46441114930412,5.4579369501607,7.44797881509419
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"288_28","den",2.911506818,7.3015705990287,6.26565640632947,8.35430478431851
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"673_28","den",1.706253931,5.06051239199801,4.02376163421849,6.05292863021729
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"3285_28","den",5.384362553,5.87761288201743,4.83621011696402,6.87206024915165
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"673_28","den",3.959796168,5.06051239199801,4.02376163421849,6.05292863021729
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"447_28","den",3.133596145,6.46441114930412,5.4579369501607,7.44797881509419
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"288_28","den",7.07107026,7.3015705990287,6.26565640632947,8.35430478431851
"9","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"3285_28","den",5.362878661,5.87761288201743,4.83621011696402,6.87206024915165
"10","CFAC1","280_31_2",4.5,311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"311_31","den",7.818658942,6.39429071761853,5.26027466591945,7.56371249064878
"11","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"447_28","den",9.155565342,6.46441114930412,5.4579369501607,7.44797881509419
"12","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"288_28","den",10.12720581,7.3015705990287,6.26565640632947,8.35430478431851
"13","CFAC3","400_31_2",6.5,405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"405_31","den",5.945336226,5.55713126789395,4.37710766483719,6.71463509610984
"14","CFAC5","700_31_2",8.5,701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"701_31","den",1.859831389,4.15323251058784,3.10858300521109,5.19255095456922
"15","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"673_28","den",8.725233157,5.06051239199801,4.02376163421849,6.05292863021729
"16","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"3285_28","den",7.74199097,5.87761288201743,4.83621011696402,6.87206024915165
"17","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"447_28","den",5.618783252,6.46441114930412,5.4579369501607,7.44797881509419
"18","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"288_28","den",4.812398797,7.3015705990287,6.26565640632947,8.35430478431851
"19","CFAD5","700_31_2",8.5,701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"701_31","den",2.283506126,4.15323251058784,3.10858300521109,5.19255095456922
"20","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"673_28","den",5.52949998,5.06051239199801,4.02376163421849,6.05292863021729
"21","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"3285_28","den",7.286756593,5.87761288201743,4.83621011696402,6.87206024915165
"22","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"447_28","den",10.73864956,6.46441114930412,5.4579369501607,7.44797881509419
"23","CFAE10","280_31_3",4.5,311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"311_31","den",4.195785798,6.39429071761853,5.26027466591945,7.56371249064878
"24","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"288_28","den",9.521613833,7.3015705990287,6.26565640632947,8.35430478431851
"25","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"3285_28","den",6.04485674,5.87761288201743,4.83621011696402,6.87206024915165
