"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"host",1.91935908591426,1.05945846668215,0.818510349142559,1.31612224890734
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"host",0.89337551362432,1.12834352588511,0.929545999093582,1.34341408550369
"3","CFAA2","280_28_1","288_28",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"host",0.854523864164138,1.21774312699699,0.998476030901321,1.43279755245631
"4","CFAA6","700_28_1","673_28",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"host",0.646870715040141,0.970707477560864,0.759712032344796,1.19047054098922
"5","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"host",1.92846267853258,0.930155959073067,0.723638727057861,1.15503079906362
"6","CFAB11","700_28_1","673_28",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"host",0.460343199555257,0.970707477560864,0.759712032344796,1.19047054098922
"7","CFAB18","400_28_1","447_28",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"host",1.17682486228515,1.12834352588511,0.929545999093582,1.34341408550369
"8","CFAB2","280_28_1","288_28",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"host",1.9144335579766,1.21774312699699,0.998476030901321,1.43279755245631
"9","CFAB3","400_31_1","405_31",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"host",0.531166084218086,0.970058865570279,0.716453405191008,1.23441151200052
"10","CFAB5","700_31_1","701_31",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"host",0.677050764647683,0.812422817246028,0.565150666998088,1.05845809299977
"11","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"host",0.698558542263751,0.930155959073067,0.723638727057861,1.15503079906362
