"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4.5,311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"311_31","host",1.91935908591426,1.04835178245642,0.789972874803461,1.30205148999017
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"447_28","host",0.89337551362432,1.12698674415818,0.908117464709439,1.34102697634225
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"288_28","host",0.854523864164138,1.21611625345738,1.00996804090009,1.42846613014411
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"673_28","host",0.646870715040141,0.972063714699513,0.753173645539569,1.1786365984469
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"3285_28","host",1.92846267853258,0.929717381703352,0.705990550307251,1.14540246543216
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"673_28","host",0.460343199555257,0.972063714699513,0.753173645539569,1.1786365984469
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"447_28","host",1.17682486228515,1.12698674415818,0.908117464709439,1.34102697634225
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"288_28","host",1.9144335579766,1.21611625345738,1.00996804090009,1.42846613014411
"9","CFAB3","400_31_1",6.5,405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"405_31","host",0.531166084218086,0.959222273157218,0.707925865146294,1.22142866159115
"10","CFAB5","700_31_1",8.5,701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"701_31","host",0.677050764647683,0.804299243698547,0.564949914536013,1.04768872590609
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"3285_28","host",0.698558542263751,0.929717381703352,0.705990550307251,1.14540246543216
"12","CFAC1","280_31_2",4.5,311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"311_31","host",0.709564075357387,1.04835178245642,0.789972874803461,1.30205148999017
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"447_28","host",0.581979820991743,1.12698674415818,0.908117464709439,1.34102697634225
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"288_28","host",1.18619567964016,1.21611625345738,1.00996804090009,1.42846613014411
"15","CFAC3","400_31_2",6.5,405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"405_31","host",0.352242083678044,0.959222273157218,0.707925865146294,1.22142866159115
"16","CFAC5","700_31_2",8.5,701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"701_31","host",0.358276619943002,0.804299243698547,0.564949914536013,1.04768872590609
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"673_28","host",0.898666905297463,0.972063714699513,0.753173645539569,1.1786365984469
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"3285_28","host",0.559053447521035,0.929717381703352,0.705990550307251,1.14540246543216
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"447_28","host",1.06392837212723,1.12698674415818,0.908117464709439,1.34102697634225
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"288_28","host",0.912011191917727,1.21611625345738,1.00996804090009,1.42846613014411
"21","CFAD5","700_31_2",8.5,701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"701_31","host",0.150861647073895,0.804299243698547,0.564949914536013,1.04768872590609
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"673_28","host",0.939950082199239,0.972063714699513,0.753173645539569,1.1786365984469
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"3285_28","host",1.39061835608299,0.929717381703352,0.705990550307251,1.14540246543216
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"447_28","host",1.23307558900558,1.12698674415818,0.908117464709439,1.34102697634225
"25","CFAE10","280_31_3",4.5,311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"311_31","host",0.615518245471957,1.04835178245642,0.789972874803461,1.30205148999017
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"288_28","host",0.825304285380332,1.21611625345738,1.00996804090009,1.42846613014411
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"3285_28","host",0.410241102314613,0.929717381703352,0.705990550307251,1.14540246543216
"28","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"288_28","host",0.879255661337135,1.21611625345738,1.00996804090009,1.42846613014411
"29","CFAF3","400_31_3",6.5,405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"405_31","host",0.722850661824004,0.959222273157218,0.707925865146294,1.22142866159115
"30","CFAF5","700_31_3",8.5,701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"701_31","host",0.753847693286405,0.804299243698547,0.564949914536013,1.04768872590609
"31","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"673_28","host",0.308233195414566,0.972063714699513,0.753173645539569,1.1786365984469
"32","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"3285_28","host",1.08048658947776,0.929717381703352,0.705990550307251,1.14540246543216
"33","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"447_28","host",2.57008842501475,1.12698674415818,0.908117464709439,1.34102697634225
"34","CFPA1","280_31_1",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"311_31","host",0.665864781813091,0.879556081263544,0.644502120572999,1.11209369854614
"35","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"3285_28","host",1.31834938008895,1.25871351299877,1.05918476149237,1.45836326759229
"36","CFPA11","400_31_2",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"405_31","host",0.686398829157247,0.790295492395079,0.528190029010084,1.04927777461615
"37","CFPA12","280_31_2",4.5,311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"311_31","host",0.219722158308879,0.879556081263544,0.644502120572999,1.11209369854614
"38","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"288_28","host",1.21665295579158,1.54505313028119,1.34748175074935,1.73868755705179
"39","CFPA20","700_31_2",8.5,701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"701_31","host",1.01607034535657,0.635523468323213,0.376753928091672,0.880291255013349
"40","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"288_28","host",2.06050462805449,1.54505313028119,1.34748175074935,1.73868755705179
"41","CFPA22","2800_31_2",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"3309_31","host",0.411350010670482,0.593216463981125,0.3584542967718,0.838224373098437
"42","CFPA3","400_31_1",6.5,405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"405_31","host",0.636948870634809,0.790295492395079,0.528190029010084,1.04927777461615
"43","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"673_28","host",2.33859139965841,1.30102051734086,1.10548228549891,1.49403026405747
"44","CFPA7","2800_31_1",10.5,3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"3309_31","host",0.409285776070498,0.593216463981125,0.3584542967718,0.838224373098437
"45","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","2800","28","PA_F",7.292,"3285_28","host",0.653322426514387,1.25871351299877,1.05918476149237,1.45836326759229
"46","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","700","28","PA_F",14.665,"673_28","host",2.44280400320169,1.30102051734086,1.10548228549891,1.49403026405747
"47","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","400","28","PB_F",7.942,"447_28","host",1.78060014612616,1.45579254141273,1.23046702317227,1.68625750102062
"48","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","2800","28","PB_F",9.46,"3285_28","host",1.43182047762791,1.25871351299877,1.05918476149237,1.45836326759229
"49","CFPB2","280_28_1",4,288,28,"T90","F","PSTR","B","280","28","PB_F",10.94,"288_28","host",1.90814450437114,1.54505313028119,1.34748175074935,1.73868755705179
"50","CFPB3","400_31_1",6.5,405,31,"T90","F","PSTR","B","400","31","PB_F",12.899,"405_31","host",0.793479737731736,0.790295492395079,0.528190029010084,1.04927777461615
"51","CFPB5","700_31_1",8.5,701,31,"T90","F","PSTR","B","700","31","PB_F",9.71,"701_31","host",0.80584541127978,0.635523468323213,0.376753928091672,0.880291255013349
"52","CFPB6","700_28_1",8,673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"673_28","host",2.94190104156937,1.30102051734086,1.10548228549891,1.49403026405747
"53","CFPB7","2800_31_1",10.5,3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"3309_31","host",0.556135446055295,0.593216463981125,0.3584542967718,0.838224373098437
"54","CFPB9","280_31_1",4.5,311,31,"T90","F","PSTR","B","280","31","PB_F",9.076,"311_31","host",0.795572643662406,0.879556081263544,0.644502120572999,1.11209369854614
"55","CFPC10","400_28_2",6,447,28,"T90","F","PSTR","C","400","28","PC_F",10.171,"447_28","host",0.501018561340674,1.45579254141273,1.23046702317227,1.68625750102062
"56","CFPC11","280_28_2",4,288,28,"T90","F","PSTR","C","280","28","PC_F",12.342,"288_28","host",2.01542341223213,1.54505313028119,1.34748175074935,1.73868755705179
"57","CFPC12","700_31_2",8.5,701,31,"T90","F","PSTR","C","700","31","PC_F",11.884,"701_31","host",0.551993646901955,0.635523468323213,0.376753928091672,0.880291255013349
"58","CFPC2","280_28_2",4,288,28,"T90","F","PSTR","C","280","28","PC_F",10.872,"288_28","host",1.58791155922864,1.54505313028119,1.34748175074935,1.73868755705179
"59","CFPC6","700_28_2",8,673,28,"T90","F","PSTR","C","700","28","PC_F",11.821,"673_28","host",0.51916131176253,1.30102051734086,1.10548228549891,1.49403026405747
"60","CFPC8","2800_28_2",10,3285,28,"T90","F","PSTR","C","2800","28","PC_F",10.075,"3285_28","host",1.07650586805046,1.25871351299877,1.05918476149237,1.45836326759229
"61","CFPD1","280_31_2",4.5,311,31,"T90","F","PSTR","D","280","31","PD_F",12.425,"311_31","host",0.884187755563969,0.879556081263544,0.644502120572999,1.11209369854614
"62","CFPD11","2800_28_2",10,3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.24,"3285_28","host",1.963849198,1.25871351299877,1.05918476149237,1.45836326759229
"63","CFPD2","280_28_2",4,288,28,"T90","F","PSTR","D","280","28","PD_F",11.427,"288_28","host",1.52566666936176,1.54505313028119,1.34748175074935,1.73868755705179
"64","CFPD5","700_31_2",8.5,701,31,"T90","F","PSTR","D","700","31","PD_F",8.533,"701_31","host",0.499400089220066,0.635523468323213,0.376753928091672,0.880291255013349
"65","CFPD6","400_28_2",6,447,28,"T90","F","PSTR","D","400","28","PD_F",8.239,"447_28","host",1.20304899843656,1.45579254141273,1.23046702317227,1.68625750102062
"66","CFPD7","2800_31_2",10.5,3309,31,"T90","F","PSTR","D","2800","31","PD_F",11.931,"3309_31","host",0.572089910950022,0.593216463981125,0.3584542967718,0.838224373098437
"67","CFPD8","2800_28_2",10,3285,28,"T90","F","PSTR","D","2800","28","PD_F",7.965,"3285_28","host",2.43475872411761,1.25871351299877,1.05918476149237,1.45836326759229
"68","CFPD9","700_28_2",8,673,28,"T90","F","PSTR","D","700","28","PD_F",7.055,"673_28","host",0.666433517750484,1.30102051734086,1.10548228549891,1.49403026405747
"69","CFPE10","280_28_1",4,288,28,"T90","F","PSTR","E","280","28","PE_F",11.543,"288_28","host",1.22427205714916,1.54505313028119,1.34748175074935,1.73868755705179
"70","CFPE12","700_28_2",8,673,28,"T90","F","PSTR","E","700","28","PE_F",13.964,"673_28","host",0.190003731514179,1.30102051734086,1.10548228549891,1.49403026405747
"71","CFPE14","280_28_2",4,288,28,"T90","F","PSTR","E","280","28","PE_F",8.052,"288_28","host",1.12236626922631,1.54505313028119,1.34748175074935,1.73868755705179
"72","CFPE2","280_28_3",4,288,28,"T90","F","PSTR","E","280","28","PE_F",10.804,"288_28","host",0.600445528616011,1.54505313028119,1.34748175074935,1.73868755705179
"73","CFPE42","2800_28_1",10,3285,28,"T90","F","PSTR","E","2800","28","PE_F",9.626,"3285_28","host",1.0247109156391,1.25871351299877,1.05918476149237,1.45836326759229
"74","CFPE6","700_28_3",8,673,28,"T90","F","PSTR","E","700","28","PE_F",10.186,"673_28","host",0.717510572711525,1.30102051734086,1.10548228549891,1.49403026405747
"75","CFPE8","2800_28_3",10,3285,28,"T90","F","PSTR","E","2800","28","PE_F",11.411,"3285_28","host",0.649471816498233,1.25871351299877,1.05918476149237,1.45836326759229
