"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci","97.5%"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"symb",39.4264403973198,"311_31",183.289660168049,-113.617292271924,479.249531139329
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"symb",14.5633426094328,"447_28",17.2540896785131,-223.443444142231,254.450710651271
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"symb",7.53767769469809,"288_28",182.892491974918,-62.1968262526622,427.410769302899
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"symb",9.19030849693615,"673_28",20.7372591083744,-222.301676312795,264.860196077862
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"symb",13.1449172122641,"3285_28",-131.87372846812,-369.580158093507,113.771273906106
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"symb",7.42942281669484,"673_28",20.7372591083744,-222.301676312795,264.860196077862
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"symb",19.8548240172155,"447_28",17.2540896785131,-223.443444142231,254.450710651271
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"symb",16.1802946079057,"288_28",182.892491974918,-62.1968262526622,427.410769302899
"9","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"symb",5.28652647060142,"3285_28",-131.87372846812,-369.580158093507,113.771273906106
"10","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"symb",18.04977056128,"311_31",183.289660168049,-113.617292271924,479.249531139329
"11","CFAC12","400_28_2","6",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"symb",8.32936002872121,"447_28",17.2540896785131,-223.443444142231,254.450710651271
"12","CFAC2","280_28_2","4",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"symb",9.20253836531836,"288_28",182.892491974918,-62.1968262526622,427.410769302899
"13","CFAC3","400_31_2","6.5",405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"symb",7.97936368889223,"405_31",17.6512578716443,-298.651848002336,317.32411546485
"14","CFAC5","700_31_2","8.5",701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"symb",41.8328244485823,"701_31",21.1344273015056,-273.803223385691,309.041596115733
"15","CFAC6","700_28_2","8",673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"symb",3.02788470229071,"673_28",20.7372591083744,-222.301676312795,264.860196077862
"16","CFAC8","2800_28_2","10",3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"symb",2.67850996989732,"3285_28",-131.87372846812,-369.580158093507,113.771273906106
"17","CFAD12","400_28_2","6",447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"symb",21.387548622244,"447_28",17.2540896785131,-223.443444142231,254.450710651271
"18","CFAD2","280_28_2","4",288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"symb",10.4099851473718,"288_28",182.892491974918,-62.1968262526622,427.410769302899
"19","CFAD5","700_31_2","8.5",701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"symb",67.1572535995903,"701_31",21.1344273015056,-273.803223385691,309.041596115733
"20","CFAD6","700_28_2","8",673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"symb",4.76842392537634,"673_28",20.7372591083744,-222.301676312795,264.860196077862
"21","CFAD8","2800_28_2","10",3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"symb",2.90362381808188,"3285_28",-131.87372846812,-369.580158093507,113.771273906106
"22","CFAD9","400_28_3","6",447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"symb",7.49647332750842,"447_28",17.2540896785131,-223.443444142231,254.450710651271
"23","CFAE10","280_31_3","4.5",311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"symb",44.9820389043607,"311_31",183.289660168049,-113.617292271924,479.249531139329
"24","CFAE15","280_28_3","4",288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"symb",6.71020702168819,"288_28",182.892491974918,-62.1968262526622,427.410769302899
"25","CFAE8","2800_28_3","10",3285,28,"T90","F","PAST","E","2800","28","AE_F",11.355,"symb",1.39242340423108,"3285_28",-131.87372846812,-369.580158093507,113.771273906106
"26","CFAF2","280_28_3","4",288,28,"T90","F","PAST","F","280","28","AF_F",10.805,"symb",7.8916005260422,"288_28",182.892491974918,-62.1968262526622,427.410769302899
"27","CFAF3","400_31_3","6.5",405,31,"T90","F","PAST","F","400","31","AF_F",10.534,"symb",2.54724411202801,"405_31",17.6512578716443,-298.651848002336,317.32411546485
"28","CFAF5","700_31_3","8.5",701,31,"T90","F","PAST","F","700","31","AF_F",10.342,"symb",17.6096997566309,"701_31",21.1344273015056,-273.803223385691,309.041596115733
"29","CFAF6","700_28_3","8",673,28,"T90","F","PAST","F","700","28","AF_F",10.115,"symb",13.0301854734856,"673_28",20.7372591083744,-222.301676312795,264.860196077862
"30","CFAF8","2800_28_3","10",3285,28,"T90","F","PAST","F","2800","28","AF_F",9.643,"symb",3.88219766656367,"3285_28",-131.87372846812,-369.580158093507,113.771273906106
"31","CFAF9","400_28_3","6",447,28,"T90","F","PAST","F","400","28","AF_F",5.018,"symb",4.29900431236154,"447_28",17.2540896785131,-223.443444142231,254.450710651271
"32","CFPA1","280_31_1","4.5",311,31,"T90","F","PSTR","A","280","31","PA_F",12.372,"symb",1392.234113509,"311_31",1470.79712868046,1187.36230936318,1760.1813148858
"33","CFPA10","2800_28_2","10",3285,28,"T90","F","PSTR","A","2800","28","PA_F",14.24,"symb",71.2481228876022,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"34","CFPA11","400_31_2","6.5",405,31,"T90","F","PSTR","A","400","31","PA_F",10.967,"symb",1436.19841284126,"405_31",1305.15872638405,1012.26276601763,1605.51999745696
"35","CFPA12","280_31_2","4.5",311,31,"T90","F","PSTR","A","280","31","PA_F",18.462,"symb",1940.0285804239,"311_31",1470.79712868046,1187.36230936318,1760.1813148858
"36","CFPA2","280_28_1","4",288,28,"T90","F","PSTR","A","280","28","PA_F",11.998,"symb",974.223566971159,"288_28",294.240475699156,69.5309328012131,516.528487529789
"37","CFPA20","700_31_2","8.5",701,31,"T90","F","PSTR","A","700","31","PA_F",10.441,"symb",299.30866668098,"701_31",1308.64189581391,1018.27848817624,1607.98399873926
"38","CFPA21","280_28_2","4",288,28,"T90","F","PSTR","A","280","28","PA_F",16.909,"symb",200.933461223437,"288_28",294.240475699156,69.5309328012131,516.528487529789
"39","CFPA22","2800_31_2","10.5",3309,31,"T90","F","PSTR","A","2800","31","PA_F",9.655,"symb",82.316642856354,"3309_31",1156.03090823742,864.080517469829,1443.7918762456
"40","CFPA3","400_31_1","6.5",405,31,"T90","F","PSTR","A","400","31","PA_F",12.671,"symb",2098.22919794346,"405_31",1305.15872638405,1012.26276601763,1605.51999745696
"41","CFPA6","700_28_1","8",673,28,"T90","F","PSTR","A","700","28","PA_F",11.948,"symb",47.5918460960675,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"42","CFPA7","2800_31_1","10.5",3309,31,"T90","F","PSTR","A","2800","31","PA_F",11.518,"symb",25.809544375244,"3309_31",1156.03090823742,864.080517469829,1443.7918762456
"43","CFPA8","2800_28_1","10",3285,28,"T90","F","PSTR","A","2800","28","PA_F",7.292,"symb",45.1599084382068,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"44","CFPA9","700_28_2","8",673,28,"T90","F","PSTR","A","700","28","PA_F",14.665,"symb",185.622072002482,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"45","CFPB1","400_28_1","6",447,28,"T90","F","PSTR","B","400","28","PB_F",7.942,"symb",57.1987229911349,"447_28",128.602073402751,-124.467461542931,371.947819045851
"46","CFPB12","2800_28_1","10",3285,28,"T90","F","PSTR","B","2800","28","PB_F",9.46,"symb",39.1028911440074,"3285_28",-20.5257447438816,-246.80029249838,202.197060383357
"47","CFPB2","280_28_1","4",288,28,"T90","F","PSTR","B","280","28","PB_F",10.94,"symb",66.9568033226576,"288_28",294.240475699156,69.5309328012131,516.528487529789
"48","CFPB6","700_28_1","8",673,28,"T90","F","PSTR","B","700","28","PB_F",11.396,"symb",96.5618195792567,"673_28",132.085242832612,-98.8837547793704,354.856737096797
"49","CFPB7","2800_31_1","10.5",3309,31,"T90","F","PSTR","B","2800","31","PB_F",8.536,"symb",202.062576161955,"3309_31",1156.03090823742,864.080517469829,1443.7918762456
