"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA15","400_28",2,447,28,"T0","F","PAST","A","con","con","AA_F",12.00066667,"T0","pro",0.266,0.297837094532017,0.216190092913482,0.386384371234649
"2","CFAB19","400_28",2,447,28,"T0","F","PAST","B","con","con","AB_F",11.39933333,"T0","pro",0.175,0.297837094532017,0.216190092913482,0.386384371234649
"3","CFAC15","400_28",2,447,28,"T0","F","PAST","C","con","con","AC_F",10.686,"T0","pro",0.316,0.297837094532017,0.216190092913482,0.386384371234649
"4","CFAD11","400_28",2,447,28,"T0","F","PAST","D","con","con","AD_F",10.54933333,"T0","pro",0.336,0.297837094532017,0.216190092913482,0.386384371234649
"5","CFAD11","400_28",2,447,28,"T0","F","PAST","D","con","con","AD_F",10.54933333,"T0","pro",0.336,0.297837094532017,0.216190092913482,0.386384371234649
"6","CFAE9","400_28",2,447,28,"T0","F","PAST","E","con","con","AE_F",14.14233333,"T0","pro",0.292,0.297837094532017,0.216190092913482,0.386384371234649
"7","CFAE9","400_28",2,447,28,"T0","F","PAST","E","con","con","AE_F",14.14233333,"T0","pro",0.292,0.297837094532017,0.216190092913482,0.386384371234649
"8","CFAF11","400_28",2,447,28,"T0","F","PAST","F","con","con","AF_F",6.160666667,"T0","pro",0.365,0.297837094532017,0.216190092913482,0.386384371234649
"9","CFPB8","400_28",2,447,28,"T0","F","PSTR","B","con","con","PB_F",7.280333333,"T0","pro",0.137,0.358251892609225,0.238395553176073,0.468572056568864
"10","CFPE13","400_28",2,447,28,"T0","F","PSTR","E","con","con","PE_F",8.785333333,"T0","pro",0.389,0.358251892609225,0.238395553176073,0.468572056568864
"11","CFSA9","400_28",2,447,28,"T0","F","SSID","A","con","con","SA_F",8.170666667,"T0","pro",0.398,0.524023949164327,0.415076859184826,0.629560502377075
"12","CFSB9","400_28",2,447,28,"T0","F","SSID","B","con","con","SB_F",11.544,"T0","pro",0.525,0.524023949164327,0.415076859184826,0.629560502377075
"13","CFSC11","400_28",2,447,28,"T0","F","SSID","C","con","con","SC_F",9.465666667,"T0","pro",0.669,0.524023949164327,0.415076859184826,0.629560502377075
"14","CFSD12","400_28",2,447,28,"T0","F","SSID","D","con","con","SD_F",9.394333333,"T0","pro",0.472,0.524023949164327,0.415076859184826,0.629560502377075
"15","CFSE9","400_28",2,447,28,"T0","F","SSID","E","con","con","SE_F",9.466666667,"T0","pro",0.335,0.524023949164327,0.415076859184826,0.629560502377075
"16","CFTA11","400_28",2,447,28,"T0","F","UTEN","A","con","con","TA_F",11.28675,"T0","pro",0.399,0.33303621976678,0.233223843065484,0.430389021453035
"17","CFTB10","400_28",2,447,28,"T0","F","UTEN","B","con","con","TB_F",14.39275,"T0","pro",0.289,0.33303621976678,0.233223843065484,0.430389021453035
"18","CFTC8","400_28",2,447,28,"T0","F","UTEN","C","con","con","TC_F",11.2615,"T0","pro",0.196,0.33303621976678,0.233223843065484,0.430389021453035
"19","CFTD12","400_28",2,447,28,"T0","F","UTEN","D","con","con","TD_F",5.153333333,"T0","pro",0.105,0.33303621976678,0.233223843065484,0.430389021453035
"20","CFTF15","400_28",2,447,28,"T0","F","UTEN","F","con","con","TF_F",21.89933333,"T0","pro",0.237,0.33303621976678,0.233223843065484,0.430389021453035
"21","CNAA13","400_28",2,447,28,"T0","N","PAST","A","con","con","AA_N",7.16,"T0","pro",0.358,0.297837094532017,0.216190092913482,0.386384371234649
"22","CNAB9","400_28",2,447,28,"T0","N","PAST","B","con","con","AB_N",9.5,"T0","pro",0.281,0.297837094532017,0.216190092913482,0.386384371234649
"23","CNAC9","400_28",2,447,28,"T0","N","PAST","C","con","con","AC_N",9.716333333,"T0","pro",0.27,0.297837094532017,0.216190092913482,0.386384371234649
"24","CNAD12","400_28",2,447,28,"T0","N","PAST","D","con","con","AD_N",10.35566667,"T0","pro",0.117,0.297837094532017,0.216190092913482,0.386384371234649
"25","CNAE9","400_28",2,447,28,"T0","N","PAST","E","con","con","AE_N",9.664,"T0","pro",0.44,0.297837094532017,0.216190092913482,0.386384371234649
"26","CNAF9","400_28",2,447,28,"T0","N","PAST","F","con","con","AF_N",10.11366667,"T0","pro",0.358,0.297837094532017,0.216190092913482,0.386384371234649
"27","CNPA9","400_28",2,447,28,"T0","N","PSTR","A","con","con","PA_N",10.44766667,"T0","pro",0.14,0.358251892609225,0.238395553176073,0.468572056568864
"28","CNPB9","400_28",2,447,28,"T0","N","PSTR","B","con","con","PB_N",11.17033333,"T0","pro",0.47,0.358251892609225,0.238395553176073,0.468572056568864
"29","CNPC10","400_28",2,447,28,"T0","N","PSTR","C","con","con","PC_N",10.55266667,"T0","pro",0.32,0.358251892609225,0.238395553176073,0.468572056568864
"30","CNPD9","400_28",2,447,28,"T0","N","PSTR","D","con","con","PD_N",7.814333333,"T0","pro",0.501,0.358251892609225,0.238395553176073,0.468572056568864
"31","CNPE10","400_28",2,447,28,"T0","N","PSTR","E","con","con","PE_N",10.709,"T0","pro",0.479,0.358251892609225,0.238395553176073,0.468572056568864
"32","CNPF15","400_28",2,447,28,"T0","N","PSTR","F","con","con","PF_N",9.076,"T0","pro",0.427,0.358251892609225,0.238395553176073,0.468572056568864
"33","CNSB15","400_28",2,447,28,"T0","N","SSID","B","con","con","SB_N",10.22766667,"T0","pro",0.693,0.524023949164327,0.415076859184826,0.629560502377075
"34","CNSC9","400_28",2,447,28,"T0","N","SSID","C","con","con","SC_N",11.61133333,"T0","pro",0.512,0.524023949164327,0.415076859184826,0.629560502377075
"35","CNSD10","400_28",2,447,28,"T0","N","SSID","D","con","con","SD_N",11.04566667,"T0","pro",0.545,0.524023949164327,0.415076859184826,0.629560502377075
