"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1","311_31",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"pro",0.45,0.189135126840216,0.0902676989866294,0.280942114120896
"2","CFAA14","400_28_1","447_28",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"pro",0.197,0.210475114610069,0.131237204236812,0.288039115751052
"3","CFAA2","280_28_1","288_28",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"pro",0.116,0.236674500647833,0.151821482013498,0.319827615609914
"4","CFAA6","700_28_1","673_28",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"pro",0.234,0.155491215569128,0.0703050813082351,0.243584899639571
"5","CFAA8","2800_28_1","3285_28",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"pro",0.351,0.108083151971235,0.0232110414594181,0.193871664086847
"6","CFAB11","700_28_1","673_28",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"pro",0.095,0.155491215569128,0.0703050813082351,0.243584899639571
"7","CFAB18","400_28_1","447_28",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"pro",0.233,0.210475114610069,0.131237204236812,0.288039115751052
"8","CFAB2","280_28_1","288_28",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"pro",0.561,0.236674500647833,0.151821482013498,0.319827615609914
"9","CFAB3","400_31_1","405_31",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"pro",0.043,0.162935740802452,0.0723232339156777,0.257292963901998
"10","CFAB5","700_31_1","701_31",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"pro",0.12,0.107951841761511,0.01992011996188,0.192032479869113
"11","CFAB8","2800_28_1","3285_28",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"pro",0.13,0.108083151971235,0.0232110414594181,0.193871664086847
"12","CFAC1","280_31_2","311_31",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"pro",0.17,0.189135126840216,0.0902676989866294,0.280942114120896
