"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"carb",1.18605619291426,"311_31",0.652116505028428,0.436730336728175,0.86952915074719
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"carb",0.63781162362432,"447_28",0.893567869601762,0.711965235786339,1.09053168366684
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"carb",0.546623836164138,"288_28",0.822208646530065,0.624584883389104,1.00952163453315
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"carb",0.358909847040141,"673_28",0.601792782343098,0.408981418419375,0.796361013411987
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"carb",1.36442388053258,"3285_28",0.579634079649006,0.388533523415365,0.775272405658925
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"carb",0.283858961555257,"673_28",0.601792782343098,0.408981418419375,0.796361013411987
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"carb",0.880658753285151,"447_28",0.893567869601762,0.711965235786339,1.09053168366684
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"carb",1.1498945499766,"288_28",0.822208646530065,0.624584883389104,1.00952163453315
"9","CFAB3","400_31_1","6.5",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"carb",0.329042058218086,"405_31",0.723475728100125,0.519994754354995,0.940765743333414
"10","CFAB5","700_31_1","8.5",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"carb",0.409945429647683,"701_31",0.43170064084146,0.225553287189381,0.631731931219063
"11","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"carb",0.504552339263751,"3285_28",0.579634079649006,0.388533523415365,0.775272405658925
"12","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"carb",0.402282024357387,"311_31",0.652116505028428,0.436730336728175,0.86952915074719
