"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4.5,311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"311_31","carb",1.18605619291426,0.652533866283927,0.411740588633923,0.875466518666125
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"447_28","carb",0.63781162362432,0.894235646601501,0.718040137475245,1.07671888849096
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"288_28","carb",0.546623836164138,0.818976242113306,0.619397707826306,1.0209322472567
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"673_28","carb",0.358909847040141,0.599588495651709,0.392460989008098,0.796813785219541
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"3285_28","carb",1.36442388053258,0.577725634438037,0.37629925816677,0.773743572273091
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"673_28","carb",0.283858961555257,0.599588495651709,0.392460989008098,0.796813785219541
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"447_28","carb",0.880658753285151,0.894235646601501,0.718040137475245,1.07671888849096
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"288_28","carb",1.1498945499766,0.818976242113306,0.619397707826306,1.0209322472567
"9","CFAB3","400_31_1",6.5,405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"405_31","carb",0.329042058218086,0.727793270772122,0.528229154280096,0.940414767323773
"10","CFAB5","700_31_1",8.5,701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"701_31","carb",0.409945429647683,0.43314611982233,0.229029130550264,0.630237380442193
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"3285_28","carb",0.504552339263751,0.577725634438037,0.37629925816677,0.773743572273091
"12","CFAC1","280_31_2",4.5,311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"311_31","carb",0.402282024357387,0.652533866283927,0.411740588633923,0.875466518666125
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"447_28","carb",0.371511024991743,0.894235646601501,0.718040137475245,1.07671888849096
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"288_28","carb",0.839010299640157,0.818976242113306,0.619397707826306,1.0209322472567
"15","CFAC3","400_31_2",6.5,405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"405_31","carb",0.197952582678044,0.727793270772122,0.528229154280096,0.940414767323773
"16","CFAC5","700_31_2",8.5,701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"701_31","carb",0.184901951943002,0.43314611982233,0.229029130550264,0.630237380442193
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"673_28","carb",0.654324183297463,0.599588495651709,0.392460989008098,0.796813785219541
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"3285_28","carb",0.396461910521035,0.577725634438037,0.37629925816677,0.773743572273091
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"447_28","carb",0.636318400127226,0.894235646601501,0.718040137475245,1.07671888849096
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"288_28","carb",0.623476142917727,0.818976242113306,0.619397707826306,1.0209322472567
