"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA15","400_28",2,447,28,"T0","F","PAST","A","T0","T0","AA_F",12.00066667,"T0","chla",1.198,43.4046149700865,14.9047333418232,73.7168505901551
"2","CFAB19","400_28",2,447,28,"T0","F","PAST","B","T0","T0","AB_F",11.39933333,"T0","chla",69.379,43.4046149700865,14.9047333418232,73.7168505901551
"3","CFAC15","400_28",2,447,28,"T0","F","PAST","C","T0","T0","AC_F",10.686,"T0","chla",44.57,43.4046149700865,14.9047333418232,73.7168505901551
"4","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","chla",99.405,43.4046149700865,14.9047333418232,73.7168505901551
"5","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","chla",99.405,43.4046149700865,14.9047333418232,73.7168505901551
"6","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","chla",34.099,43.4046149700865,14.9047333418232,73.7168505901551
"7","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","chla",34.099,43.4046149700865,14.9047333418232,73.7168505901551
"8","CFAF11","400_28",2,447,28,"T0","F","PAST","F","T0","T0","AF_F",6.160666667,"T0","chla",19.384,43.4046149700865,14.9047333418232,73.7168505901551
"9","CFPB8","400_28",2,447,28,"T0","F","PSTR","B","T0","T0","PB_F",7.280333333,"T0","chla",68.647,49.0425715860755,9.22263238943556,88.2048490996262
"10","CFPE13","400_28",2,447,28,"T0","F","PSTR","E","T0","T0","PE_F",8.785333333,"T0","chla",6.886,49.0425715860755,9.22263238943556,88.2048490996262
"11","CFSA9","400_28",2,447,28,"T0","F","SSID","A","T0","T0","SA_F",8.170666667,"T0","chla",21.623,46.1728655988973,11.0060808139506,79.0245229403304
"12","CFSB9","400_28",2,447,28,"T0","F","SSID","B","T0","T0","SB_F",11.544,"T0","chla",51.496,46.1728655988973,11.0060808139506,79.0245229403304
"13","CFSC11","400_28",2,447,28,"T0","F","SSID","C","T0","T0","SC_F",9.465666667,"T0","chla",11.301,46.1728655988973,11.0060808139506,79.0245229403304
"14","CFSD12","400_28",2,447,28,"T0","F","SSID","D","T0","T0","SD_F",9.394333333,"T0","chla",46.666,46.1728655988973,11.0060808139506,79.0245229403304
