"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"den",5.524414525,"311_31",6.40049418044568,5.15921868933334,7.51073182184699
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"den",7.570308751,"447_28",6.47149237838607,5.51759220316364,7.48087779858645
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"den",2.911506818,"288_28",7.29809174486631,6.23059561756763,8.31027791829084
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"den",1.706253931,"673_28",5.07615391403416,4.05258745612225,6.14788859461174
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"den",5.384362553,"3285_28",5.8723172626276,4.85528227759517,6.8532471216798
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"den",3.959796168,"673_28",5.07615391403416,4.05258745612225,6.14788859461174
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"den",3.133596145,"447_28",6.47149237838607,5.51759220316364,7.48087779858645
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"den",7.07107026,"288_28",7.29809174486631,6.23059561756763,8.31027791829084
"9","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"den",5.362878661,"3285_28",5.8723172626276,4.85528227759517,6.8532471216798
"10","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"den",7.818658942,"311_31",6.40049418044568,5.15921868933334,7.51073182184699
"11","CFAC12","400_28_2","6",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"den",9.155565342,"447_28",6.47149237838607,5.51759220316364,7.48087779858645
"12","CFAC2","280_28_2","4",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"den",10.12720581,"288_28",7.29809174486631,6.23059561756763,8.31027791829084
"13","CFAC3","400_31_2","6.5",405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"den",5.945336226,"405_31",5.57389481396544,4.41990392580743,6.75205316726047
