"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA15","400_28",2,447,28,"T0","F","PAST","A","T0","T0","AA_F",12.00066667,"T0","host",2.325267997,1.83490738394595,1.50635478464471,2.16411698457009
"2","CFAB19","400_28",2,447,28,"T0","F","PAST","B","T0","T0","AB_F",11.39933333,"T0","host",1.317340251,1.83490738394595,1.50635478464471,2.16411698457009
"3","CFAC15","400_28",2,447,28,"T0","F","PAST","C","T0","T0","AC_F",10.686,"T0","host",2.058804767,1.83490738394595,1.50635478464471,2.16411698457009
"4","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","host",2.365122748,1.83490738394595,1.50635478464471,2.16411698457009
"5","CFAD11","400_28",2,447,28,"T0","F","PAST","D","T0","T0","AD_F",10.54933333,"T0","host",2.365122748,1.83490738394595,1.50635478464471,2.16411698457009
"6","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","host",1.733187163,1.83490738394595,1.50635478464471,2.16411698457009
"7","CFAE9","400_28",2,447,28,"T0","F","PAST","E","T0","T0","AE_F",14.14233333,"T0","host",1.733187163,1.83490738394595,1.50635478464471,2.16411698457009
"8","CFAF11","400_28",2,447,28,"T0","F","PAST","F","T0","T0","AF_F",6.160666667,"T0","host",2.161405571,1.83490738394595,1.50635478464471,2.16411698457009
"9","CFPB8","400_28",2,447,28,"T0","F","PSTR","B","T0","T0","PB_F",7.280333333,"T0","host",1.065649513,1.2783192845252,0.869838157948856,1.69902198639727
"10","CFPE13","400_28",2,447,28,"T0","F","PSTR","E","T0","T0","PE_F",8.785333333,"T0","host",1.098071551,1.2783192845252,0.869838157948856,1.69902198639727
"11","CFSA9","400_28",2,447,28,"T0","F","SSID","A","T0","T0","SA_F",8.170666667,"T0","host",1.008753175,1.67222746659336,1.30159659556321,2.06642636434291
"12","CFSB9","400_28",2,447,28,"T0","F","SSID","B","T0","T0","SB_F",11.544,"T0","host",1.577018011,1.67222746659336,1.30159659556321,2.06642636434291
"13","CFSC11","400_28",2,447,28,"T0","F","SSID","C","T0","T0","SC_F",9.465666667,"T0","host",2.096572684,1.67222746659336,1.30159659556321,2.06642636434291
"14","CFSD12","400_28",2,447,28,"T0","F","SSID","D","T0","T0","SD_F",9.394333333,"T0","host",1.681157498,1.67222746659336,1.30159659556321,2.06642636434291
"15","CFSE9","400_28",2,447,28,"T0","F","SSID","E","T0","T0","SE_F",9.466666667,"T0","host",1.116762788,1.67222746659336,1.30159659556321,2.06642636434291
"16","CNAA13","400_28",2,447,28,"T0","N","PAST","A","T0","T0","AA_N",7.16,"T0","host",1.775449795,1.83490738394595,1.50635478464471,2.16411698457009
"17","CNAC9","400_28",2,447,28,"T0","N","PAST","C","T0","T0","AC_N",9.716333333,"T0","host",1.309519491,1.83490738394595,1.50635478464471,2.16411698457009
"18","CNAD12","400_28",2,447,28,"T0","N","PAST","D","T0","T0","AD_N",10.35566667,"T0","host",0.768345326,1.83490738394595,1.50635478464471,2.16411698457009
"19","CNAE9","400_28",2,447,28,"T0","N","PAST","E","T0","T0","AE_N",9.664,"T0","host",1.843591996,1.83490738394595,1.50635478464471,2.16411698457009
"20","CNAF9","400_28",2,447,28,"T0","N","PAST","F","T0","T0","AF_N",10.11366667,"T0","host",2.003082565,1.83490738394595,1.50635478464471,2.16411698457009
"21","CNPA9","400_28",2,447,28,"T0","N","PSTR","A","T0","T0","PA_N",10.44766667,"T0","host",0.44248854,1.2783192845252,0.869838157948856,1.69902198639727
"22","CNPB9","400_28",2,447,28,"T0","N","PSTR","B","T0","T0","PB_N",11.17033333,"T0","host",0.967239162,1.2783192845252,0.869838157948856,1.69902198639727
"23","CNPC10","400_28",2,447,28,"T0","N","PSTR","C","T0","T0","PC_N",10.55266667,"T0","host",1.495374009,1.2783192845252,0.869838157948856,1.69902198639727
"24","CNPD9","400_28",2,447,28,"T0","N","PSTR","D","T0","T0","PD_N",7.814333333,"T0","host",1.633776762,1.2783192845252,0.869838157948856,1.69902198639727
"25","CNPE10","400_28",2,447,28,"T0","N","PSTR","E","T0","T0","PE_N",10.709,"T0","host",1.757899697,1.2783192845252,0.869838157948856,1.69902198639727
"26","CNPF15","400_28",2,447,28,"T0","N","PSTR","F","T0","T0","PF_N",9.076,"T0","host",1.800674048,1.2783192845252,0.869838157948856,1.69902198639727
"27","CNSB15","400_28",2,447,28,"T0","N","SSID","B","T0","T0","SB_N",10.22766667,"T0","host",2.182382278,1.67222746659336,1.30159659556321,2.06642636434291
"28","CNSC9","400_28",2,447,28,"T0","N","SSID","C","T0","T0","SC_N",11.61133333,"T0","host",1.615917276,1.67222746659336,1.30159659556321,2.06642636434291
"29","CNSD10","400_28",2,447,28,"T0","N","SSID","D","T0","T0","SD_N",11.04566667,"T0","host",1.813452016,1.67222746659336,1.30159659556321,2.06642636434291
"30","CNSE9","400_28",2,447,28,"T0","N","SSID","E","T0","T0","SE_N",10.54866667,"T0","host",1.055579505,1.67222746659336,1.30159659556321,2.06642636434291
"31","CNSF22","400_28",2,447,28,"T0","N","SSID","F","T0","T0","SF_N",10.542,"T0","host",2.535837484,1.67222746659336,1.30159659556321,2.06642636434291
"32","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,"311_31","host",1.919359086,1.04909422328988,0.789372615797684,1.32308617091882
"33","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,"447_28","host",0.893375514,1.13527334644396,0.912721898634687,1.36479731327572
"34","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,"288_28","host",0.854523864,1.21391028439479,0.97760972614745,1.44466094305858
"35","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,"673_28","host",0.646870715,0.969766885582946,0.752946173489618,1.19086927431879
"36","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,"3285_28","host",1.928462679,0.925775596672409,0.711380135089463,1.14623170098681
"37","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,"673_28","host",0.4603432,0.969766885582946,0.752946173489618,1.19086927431879
"38","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,"447_28","host",1.176824862,1.13527334644396,0.912721898634687,1.36479731327572
"39","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,"288_28","host",1.914433558,1.21391028439479,0.97760972614745,1.44466094305858
"40","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,"405_31","host",0.531166084,0.970457285339052,0.708371893780019,1.23981843010202
"41","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,"701_31","host",0.677050765,0.804950824478037,0.551170901981998,1.05618450974196
"42","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,"3285_28","host",0.698558542,0.925775596672409,0.711380135089463,1.14623170098681
"43","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,"311_31","host",0.709564075,1.04909422328988,0.789372615797684,1.32308617091882
"44","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,"447_28","host",0.581979821,1.13527334644396,0.912721898634687,1.36479731327572
"45","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,"288_28","host",1.18619568,1.21391028439479,0.97760972614745,1.44466094305858
"46","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,"405_31","host",0.352242084,0.970457285339052,0.708371893780019,1.23981843010202
"47","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,"701_31","host",0.35827662,0.804950824478037,0.551170901981998,1.05618450974196
"48","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,"673_28","host",0.898666905,0.969766885582946,0.752946173489618,1.19086927431879
"49","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,"3285_28","host",0.559053448,0.925775596672409,0.711380135089463,1.14623170098681
"50","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,"447_28","host",1.063928372,1.13527334644396,0.912721898634687,1.36479731327572
"51","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,"288_28","host",0.912011192,1.21391028439479,0.97760972614745,1.44466094305858
"52","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,"701_31","host",0.150861647,0.804950824478037,0.551170901981998,1.05618450974196
"53","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,"673_28","host",0.939950082,0.969766885582946,0.752946173489618,1.19086927431879
"54","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,"3285_28","host",1.390618356,0.925775596672409,0.711380135089463,1.14623170098681
"55","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,"447_28","host",1.233075589,1.13527334644396,0.912721898634687,1.36479731327572
"56","CFAE10","280_31_3",4,311,31,"T90","F","PAST","E","300","31","AE_F",8.362,"311_31","host",0.615518245,1.04909422328988,0.789372615797684,1.32308617091882
"57","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","300","28","AE_F",8.097,"288_28","host",0.825304285,1.21391028439479,0.97760972614745,1.44466094305858
"58","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","3300","28","AE_F",11.355,"3285_28","host",0.410241102,0.925775596672409,0.711380135089463,1.14623170098681
"59","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","300","28","AF_F",10.805,"288_28","host",0.879255661,1.21391028439479,0.97760972614745,1.44466094305858
"60","CFAF3","400_31_3",6,405,31,"T90","F","PAST","F","420","31","AF_F",10.534,"405_31","host",0.722850662,0.970457285339052,0.708371893780019,1.23981843010202
"61","CFAF5","700_31_3",8,701,31,"T90","F","PAST","F","680","31","AF_F",10.342,"701_31","host",0.753847693,0.804950824478037,0.551170901981998,1.05618450974196
"62","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","680","28","AF_F",10.115,"673_28","host",0.308233195,0.969766885582946,0.752946173489618,1.19086927431879
"63","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","3300","28","AF_F",9.643,"3285_28","host",1.080486589,0.925775596672409,0.711380135089463,1.14623170098681
"64","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","420","28","AF_F",5.018,"447_28","host",2.570088425,1.13527334644396,0.912721898634687,1.36479731327572
"65","CFPA1","280_31_1",4,311,31,"T90","F","PSTR","A","300","31","PA_F",12.372,"311_31","host",0.665864782,0.875701966099405,0.62932978464733,1.12696312805304
"66","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",14.24,"3285_28","host",1.31834938,1.25228494193269,1.04866257099221,1.45458598744228
"67","CFPA11","400_31_2",6,405,31,"T90","F","PSTR","A","420","31","PA_F",10.967,"405_31","host",0.686398829,0.796936260616956,0.531001315492005,1.0601751311834
"68","CFPA12","280_31_2",4,311,31,"T90","F","PSTR","A","300","31","PA_F",18.462,"311_31","host",0.219722158,0.875701966099405,0.62932978464733,1.12696312805304
"69","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","300","28","PA_F",11.998,"288_28","host",1.216652956,1.54036226985305,1.33524581253859,1.73377131154221
"70","CFPA20","700_31_2",8,701,31,"T90","F","PSTR","A","680","31","PA_F",10.441,"701_31","host",1.016070345,0.631579176517149,0.366917111729224,0.895312179618687
"71","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","300","28","PA_F",16.909,"288_28","host",2.060504628,1.54036226985305,1.33524581253859,1.73377131154221
"72","CFPA22","2800_31_2",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",9.655,"3309_31","host",0.411350011,0.587624638179042,0.324782814159051,0.846688828348868
"73","CFPA3","400_31_1",6,405,31,"T90","F","PSTR","A","420","31","PA_F",12.671,"405_31","host",0.636948871,0.796936260616956,0.531001315492005,1.0601751311834
"74","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","680","28","PA_F",11.948,"673_28","host",2.3385914,1.29623948027079,1.08895309446663,1.50200106609564
"75","CFPA7","2800_31_1",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",11.518,"3309_31","host",0.409285776,0.587624638179042,0.324782814159051,0.846688828348868
"76","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",7.292,"3285_28","host",0.653322427,1.25228494193269,1.04866257099221,1.45458598744228
"77","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","680","28","PA_F",14.665,"673_28","host",2.442804003,1.29623948027079,1.08895309446663,1.50200106609564
"78","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","420","28","PB_F",7.942,"447_28","host",1.780600146,1.4615965643706,1.22629961715767,1.69911316876487
"79","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","3300","28","PB_F",9.46,"3285_28","host",1.431820478,1.25228494193269,1.04866257099221,1.45458598744228
