"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4.5,311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"311_31","lipid",0.283302893,0.259832888198906,0.143714386701716,0.370867474834104
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"447_28","lipid",0.05856389,0.166079743207712,0.0717696880682974,0.258862983201758
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"288_28","lipid",0.191900028,0.206604429210967,0.108774302472085,0.305299101405927
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"673_28","lipid",0.053960868,0.110769161013267,0.00475671096609609,0.208145717454977
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"3285_28","lipid",0.213038798,0.130851076569541,0.029384084213145,0.228769498460136
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"673_28","lipid",0.081484238,0.110769161013267,0.00475671096609609,0.208145717454977
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"447_28","lipid",0.063166109,0.166079743207712,0.0717696880682974,0.258862983201758
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"288_28","lipid",0.203539008,0.206604429210967,0.108774302472085,0.305299101405927
"9","CFAB3","400_31_1",6.5,405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"405_31","lipid",0.159124026,0.219308202195652,0.115951253404773,0.328135260808219
"10","CFAB5","700_31_1",8.5,701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"701_31","lipid",0.147105335,0.163997620001206,0.0607488998481497,0.26771874267749
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"3285_28","lipid",0.064006203,0.130851076569541,0.029384084213145,0.228769498460136
"12","CFAC1","280_31_2",4.5,311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"311_31","lipid",0.137282051,0.259832888198906,0.143714386701716,0.370867474834104
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"447_28","lipid",0.121468796,0.166079743207712,0.0717696880682974,0.258862983201758
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"288_28","lipid",0.18618538,0.206604429210967,0.108774302472085,0.305299101405927
"15","CFAC3","400_31_2",6.5,405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"405_31","lipid",0.084289501,0.219308202195652,0.115951253404773,0.328135260808219
"16","CFAC5","700_31_2",8.5,701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"701_31","lipid",0.148374668,0.163997620001206,0.0607488998481497,0.26771874267749
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"673_28","lipid",0.122342722,0.110769161013267,0.00475671096609609,0.208145717454977
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"3285_28","lipid",0.072591537,0.130851076569541,0.029384084213145,0.228769498460136
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"447_28","lipid",0.152609972,0.166079743207712,0.0717696880682974,0.258862983201758
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","280","28","AD_F",8.646,"288_28","lipid",0.115535049,0.206604429210967,0.108774302472085,0.305299101405927
"21","CFAD5","700_31_2",8.5,701,31,"T90","F","PAST","D","700","31","AD_F",9.903,"701_31","lipid",0.078126434,0.163997620001206,0.0607488998481497,0.26771874267749
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","700","28","AD_F",8.446,"673_28","lipid",0.075443369,0.110769161013267,0.00475671096609609,0.208145717454977
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","2800","28","AD_F",9.366,"3285_28","lipid",0.129487411,0.130851076569541,0.029384084213145,0.228769498460136
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","400","28","AD_F",6.6,"447_28","lipid",0.211555442,0.166079743207712,0.0717696880682974,0.258862983201758
"25","CFAE10","280_31_3",4.5,311,31,"T90","F","PAST","E","280","31","AE_F",8.362,"311_31","lipid",0.175859548,0.259832888198906,0.143714386701716,0.370867474834104
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","280","28","AE_F",8.097,"288_28","lipid",0.200566398,0.206604429210967,0.108774302472085,0.305299101405927
