"","X1","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","den","pro","chla","sum_bw5","red_bw1","green_bw1","blue_bw1","sum_bw1","red_bw2","green_bw2","blue_bw2","sum_bw2","red_bw3","green_bw3","blue_bw3","sum_bw3","red_bw4","green_bw4","blue_bw4","sum_bw4","red_bw5","green_bw5","blue_bw5","rate","carb(mg/cm2)_avg","lipid(mg/cm2)_avg"
"1",1,"CFAA1","280_31_1","311_31",311,31,"T90","F","A","A","280",31,"AA_F",10.547,5524414.525,0.45,217.808,125.9,113.9,79.7,16.2,209.8,118.2,90,16.6,224.8,98.1,62.5,12.5,173.1,144.8,110.3,28.4,283.5,69.2,52.3,4.4,0.333,1.18605619291426,0.283302893
"2",2,"CFAA14","400_28_1","447_28",447,28,"T90","F","A","A","400",28,"AA_F",10.418,7570308.751,0.197,110.249,266.4,NA,NA,NA,NA,93.8,51.2,18.3,163.3,92,59,28,179,100.4,65.4,28.4,194.2,137.5,93.3,35.6,0.079,0.63781162362432,0.05856389
"3",3,"CFAA2","280_28_1","288_28",288,28,"T90","F","A","A","280",28,"AA_F",8.63,2911506.818,0.116,21.946,349.5,122.9,88.1,4.2,445.2,122.4,92,41.8,256.2,129.8,88,25.1,242.9,131.5,89.9,34,255.4,166.2,126.4,56.9,-0.148,0.546623836164138,0.191900028
"4",4,"CFAA6","700_28_1","673_28",673,28,"T90","F","A","A","700",28,"AA_F",12.19,1706253.931,0.234,15.681,431.4,145.5,103.1,9.7,258.3,145.1,109,42,296.1,167.5,123.7,57,348.2,185.1,143,89.2,417.3,193.9,159.5,78,-0.255,0.358909847040141,0.053960868
"5",5,"CFAA8","2800_28_1","3285_28",3285,28,"T90","F","A","A","2800",28,"AA_F",11.967,5384362.553,0.351,70.777,362.1,124.4,88.2,12,224.6,120.1,87.7,33.1,240.9,129.4,96.2,37.2,262.8,139.6,99.2,49.3,288.1,173.1,135.6,53.4,-0.739,1.36442388053258,0.213038798
"6",6,"CFAB11","700_28_1","673_28",673,28,"T90","F","A","B","700",28,"AB_F",10.074,3959796.168,0.095,29.419,273.6,150.4,115.7,28.3,294.4,122.7,87.9,33.6,244.2,123.3,82.8,28.5,234.6,159.5,122.9,64.8,347.2,136.2,98.7,38.7,-0.179,0.283858961555257,0.081484238
"7",7,"CFAB18","400_28_1","447_28",447,28,"T90","F","A","B","400",28,"AB_F",9.132,3133596.145,0.233,62.217,314.2,NA,NA,NA,NA,92.6,55.4,22.4,170.4,142.7,104.3,36.6,283.6,75.6,45.6,18.3,139.5,149.4,107.5,57.3,0.634,0.880658753285151,0.063166109
"8",8,"CFAB2","280_28_1","288_28",288,28,"T90","F","A","B","280",28,"AB_F",10.698,7071070.26,0.561,114.412,214.4,131.5,96.6,13.4,241.5,100.5,68.8,19.4,188.7,94.5,60.9,13.3,168.7,68.2,41.3,17.1,126.6,120,76.2,18.2,-0.018,1.1498945499766,0.203539008
"9",9,"CFAB3","400_31_1","405_31",405,31,"T90","F","A","B","400",31,"AB_F",11.497,NA,0.043,35.844,192.3,162.8,131.3,37.6,331.7,133,103.1,25.5,261.6,133.5,101.8,33.2,268.5,143.5,133.4,72.5,349.4,88.1,76.4,27.8,-0.319,0.329042058218086,0.159124026
"10",10,"CFAB5","700_31_1","701_31",701,31,"T90","F","A","B","700",31,"AB_F",11.136,NA,0.12,97.157,407.8,144.5,107.6,24.6,276.7,123.3,89.9,31.1,244.3,158.4,115.4,46.6,320.4,210.6,184.2,122.5,517.3,175.7,148.6,83.5,-0.553,0.409945429647683,0.147105335
"11",11,"CFAB8","2800_28_1","3285_28",3285,28,"T90","F","A","B","2800",28,"AB_F",9.958,5362878.661,0.13,28.351,437.8,160.9,124.6,28.4,313.9,104.3,67.6,26.8,198.7,123.3,86.4,39.5,249.2,156.9,118.9,56.8,332.6,187.8,157.7,92.3,-0.368,0.504552339263751,0.064006203
"12",12,"CFAC1","280_31_2","311_31",311,31,"T90","F","A","C","280",31,"AC_F",8.561,7818658.942,0.17,141.125,192.3,91.7,56.1,11.4,159.2,138.1,103.7,29.4,271.2,121.9,86.6,20,228.5,141.3,117.4,47.2,305.9,94.9,77.2,20.2,0.268,0.402282024357387,0.137282051
"13",13,"CFAC12","400_28_2","447_28",447,28,"T90","F","A","C","400",28,"AC_F",9.083,9155565.342,0.089,76.26,341,NA,NA,NA,NA,144.6,103.1,38.2,285.9,100.9,65.2,22.1,188.2,114.5,94.5,30.9,239.9,152.2,127.5,61.3,-0.449,0.371511024991743,0.121468796
"14",14,"CFAC2","280_28_2","288_28",288,28,"T90","F","A","C","280",28,"AC_F",9.69,10127205.81,0.161,93.196,265.6,104.5,68,2.6,175.1,115.1,84.4,20.4,219.9,96.1,56.8,7.8,160.7,92.2,58.3,11.5,162,145.6,96.1,23.9,0.101,0.839010299640157,0.18618538
"15",15,"CFAC3","400_31_2","405_31",405,31,"T90","F","A","C","400",31,"AC_F",10.757,5945336.226,0.07,47.44,153.1,118.3,78,14.6,210.9,115.1,84.4,20.4,219.9,146.8,105.4,34.6,286.8,128,111.6,59,298.6,68.3,53.9,30.9,0.104,0.197952582678044,0.084289501
"16",16,"CFAC5","700_31_2","701_31",701,31,"T90","F","A","C","700",31,"AC_F",11.743,1859831.389,0.025,77.802,329.6,154.5,118.1,36.1,308.7,120.9,91.7,18.3,230.9,156.1,118.9,41,316,210.4,182.5,122.4,515.3,149,113,67.6,0.105,0.184901951943002,0.148374668
"17",17,"CFAC6","700_28_2","673_28",673,28,"T90","F","A","C","700",28,"AC_F",10.222,8725233.157,0.122,26.419,463.3,179.4,141.6,39.6,360.6,117.4,84.7,17.4,219.5,111.7,70.2,27,208.9,170,132.7,63.4,366.1,204.7,172,86.6,-0.17,0.654324183297463,0.122342722
"18",18,"CFAC8","2800_28_2","3285_28",3285,28,"T90","F","A","C","2800",28,"AC_F",9.302,7741990.97,0.09,20.737,442.2,160.5,126.1,36.9,323.5,111.4,79.6,16.3,207.3,109.8,72.2,19.6,201.6,147.9,115.5,55.1,318.5,191.4,161,89.8,0.079,0.396461910521035,0.072591537
