"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","treat2","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4.5,311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"311_31","symb",39.4264403973198,52.5186964507253,-105.736190727043,204.045725257979
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"447_28","symb",14.5633426094328,40.0237279404435,-73.682837623944,155.418499975471
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"288_28","symb",7.53767769469809,37.9362597851678,-76.5679249138648,153.814573044052
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"673_28","symb",9.19030849693615,35.0580112933368,-87.9474703704898,152.262099932117
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"3285_28","symb",13.1449172122641,31.6452014838823,-80.0612299903546,143.239970105691
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"673_28","symb",7.42942281669484,35.0580112933368,-87.9474703704898,152.262099932117
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"447_28","symb",19.8548240172155,40.0237279404435,-73.682837623944,155.418499975471
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"288_28","symb",16.1802946079057,37.9362597851678,-76.5679249138648,153.814573044052
"9","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"3285_28","symb",5.28652647060142,31.6452014838823,-80.0612299903546,143.239970105691
"10","CFAC1","280_31_2",4.5,311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"311_31","symb",18.04977056128,52.5186964507253,-105.736190727043,204.045725257979
"11","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"447_28","symb",8.32936002872121,40.0237279404435,-73.682837623944,155.418499975471
"12","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"288_28","symb",9.20253836531836,37.9362597851678,-76.5679249138648,153.814573044052
"13","CFAC3","400_31_2",6.5,405,31,"T90","F","PAST","C","400","31","AC_F",10.757,"405_31","symb",7.97936368889223,39.7334241636692,-114.853761902396,195.281295328606
"14","CFAC5","700_31_2",8.5,701,31,"T90","F","PAST","C","700","31","AC_F",11.743,"701_31","symb",41.8328244485823,67.9098943449686,-66.0674533356375,202.698969374176
"15","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","700","28","AC_F",10.222,"673_28","symb",3.02788470229071,35.0580112933368,-87.9474703704898,152.262099932117
"16","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","2800","28","AC_F",9.302,"3285_28","symb",2.67850996989732,31.6452014838823,-80.0612299903546,143.239970105691
"17","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","400","28","AD_F",5.764,"447_28","symb",21.387548622244,40.0237279404435,-73.682837623944,155.418499975471
