"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","mean","lowerci","upperci"
"1",NA,NA,"311_31",311,31,NA,NA,"PAST",NA,"280","31","AA_F",10.547,"symb",39.4264403973198,105.30126693938,-334.840963004173,532.325424773484
"2",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AA_F",10.418,"symb",14.5633426094328,-28.2187982438067,-376.975987954746,308.102417501686
"3",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AA_F",8.63,"symb",7.53767769469809,128.647971115983,-210.549713356103,457.555148230097
"4",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AA_F",12.19,"symb",9.19030849693615,149.845337446328,-223.838630341959,534.825489441184
"5",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AA_F",11.967,"symb",13.1449172122641,-185.198934196731,-534.637409583235,179.865796497254
"6",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AB_F",10.074,"symb",7.42942281669484,149.845337446328,-223.838630341959,534.825489441184
"7",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AB_F",9.132,"symb",19.8548240172155,-28.2187982438067,-376.975987954746,308.102417501686
"8",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AB_F",10.698,"symb",16.1802946079057,128.647971115983,-210.549713356103,457.555148230097
"9",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AB_F",9.958,"symb",5.28652647060142,-185.198934196731,-534.637409583235,179.865796497254
"10",NA,NA,"311_31",311,31,NA,NA,"PAST",NA,"280","31","AC_F",8.561,"symb",18.04977056128,105.30126693938,-334.840963004173,532.325424773484
"11",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AC_F",9.083,"symb",8.32936002872121,-28.2187982438067,-376.975987954746,308.102417501686
"12",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AC_F",9.69,"symb",9.20253836531836,128.647971115983,-210.549713356103,457.555148230097
"13",NA,NA,"405_31",405,31,NA,NA,"PAST",NA,"400","31","AC_F",10.757,"symb",7.97936368889223,-51.5655024204101,-500.891339356175,381.139272239962
"14",NA,NA,"701_31",701,31,NA,NA,"PAST",NA,"700","31","AC_F",11.743,"symb",41.8328244485823,126.498633269725,-290.738422660865,535.134592201406
"15",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AC_F",10.222,"symb",3.02788470229071,149.845337446328,-223.838630341959,534.825489441184
"16",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AC_F",9.302,"symb",2.67850996989732,-185.198934196731,-534.637409583235,179.865796497254
"17",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AD_F",5.764,"symb",21.387548622244,-28.2187982438067,-376.975987954746,308.102417501686
"18",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AD_F",8.646,"symb",10.4099851473718,128.647971115983,-210.549713356103,457.555148230097
"19",NA,NA,"701_31",701,31,NA,NA,"PAST",NA,"700","31","AD_F",9.903,"symb",67.1572535995903,126.498633269725,-290.738422660865,535.134592201406
"20",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AD_F",8.446,"symb",4.76842392537634,149.845337446328,-223.838630341959,534.825489441184
"21",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AD_F",9.366,"symb",2.90362381808188,-185.198934196731,-534.637409583235,179.865796497254
"22",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AD_F",6.6,"symb",7.49647332750842,-28.2187982438067,-376.975987954746,308.102417501686
"23",NA,NA,"311_31",311,31,NA,NA,"PAST",NA,"280","31","AE_F",8.362,"symb",44.9820389043607,105.30126693938,-334.840963004173,532.325424773484
"24",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AE_F",8.097,"symb",6.71020702168819,128.647971115983,-210.549713356103,457.555148230097
"25",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AE_F",11.355,"symb",1.39242340423108,-185.198934196731,-534.637409583235,179.865796497254
"26",NA,NA,"288_28",288,28,NA,NA,"PAST",NA,"280","28","AF_F",10.805,"symb",7.8916005260422,128.647971115983,-210.549713356103,457.555148230097
"27",NA,NA,"405_31",405,31,NA,NA,"PAST",NA,"400","31","AF_F",10.534,"symb",2.54724411202801,-51.5655024204101,-500.891339356175,381.139272239962
"28",NA,NA,"701_31",701,31,NA,NA,"PAST",NA,"700","31","AF_F",10.342,"symb",17.6096997566309,126.498633269725,-290.738422660865,535.134592201406
"29",NA,NA,"673_28",673,28,NA,NA,"PAST",NA,"700","28","AF_F",10.115,"symb",13.0301854734856,149.845337446328,-223.838630341959,534.825489441184
"30",NA,NA,"3285_28",3285,28,NA,NA,"PAST",NA,"2800","28","AF_F",9.643,"symb",3.88219766656367,-185.198934196731,-534.637409583235,179.865796497254
"31",NA,NA,"447_28",447,28,NA,NA,"PAST",NA,"400","28","AF_F",5.018,"symb",4.29900431236154,-28.2187982438067,-376.975987954746,308.102417501686
"32",NA,NA,"311_31",311,31,NA,NA,"PSTR",NA,"280","31","PA_F",12.372,"symb",1392.234113509,1863.45046919059,1455.6911490282,2285.64872184189
"33",NA,NA,"3285_28",3285,28,NA,NA,"PSTR",NA,"2800","28","PA_F",14.24,"symb",71.2481228876022,-74.0769705578036,-395.063884604227,244.848805496039
"34",NA,NA,"405_31",405,31,NA,NA,"PSTR",NA,"400","31","PA_F",10.967,"symb",1436.19841284126,1706.5836998308,1277.49390955244,2122.77138096745
"35",NA,NA,"311_31",311,31,NA,NA,"PSTR",NA,"280","31","PA_F",18.462,"symb",1940.0285804239,1863.45046919059,1455.6911490282,2285.64872184189
"36",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PA_F",11.998,"symb",974.223566971159,239.76993475491,-78.2717009166325,563.153736323722
"37",NA,NA,"701_31",701,31,NA,NA,"PSTR",NA,"700","31","PA_F",10.441,"symb",299.30866668098,1884.64783552093,1475.43910092614,2320.19273424366
"38",NA,NA,"288_28",288,28,NA,NA,"PSTR",NA,"280","28","PA_F",16.909,"symb",200.933461223437,239.76993475491,-78.2717009166325,563.153736323722
"39",NA,NA,"3309_31",3309,31,NA,NA,"PSTR",NA,"2800","31","PA_F",9.655,"symb",82.316642856354,1549.60356387787,1139.56167909716,1958.75432219607
"40",NA,NA,"405_31",405,31,NA,NA,"PSTR",NA,"400","31","PA_F",12.671,"symb",2098.22919794346,1706.5836998308,1277.49390955244,2122.77138096745
"41",NA,NA,"673_28",673,28,NA,NA,"PSTR",NA,"700","28","PA_F",11.948,"symb",47.5918460960675,260.967301085256,-61.0111662784487,587.147576232255
